date,Cadangan Devisa BI Menurut Jenis,Pertumbuhan PDB Harga Konstan Menurut Lapangan Usaha Sektoral (Triwulanan YoY),Total Nilai Ekspor Bulanan,Total Nilai Impor Bulanan,Terakhir,Tertinggi,Terendah
2000-01-31,29257.0,6.48,4394000000.0,2169500000.0,1.4425,1.4865,1.3549
2000-02-29,29257.0,6.48,4793800000.0,2120400000.0,1.4825,1.5155,1.3847
2000-03-31,29257.0,6.48,4951500000.0,2265100000.0,1.3567,1.4874,1.3092
2000-04-30,29257.0,6.48,5012000000.0,2338900000.0,1.3653,1.4108,1.2145
2000-05-31,29257.0,6.48,4858000000.0,2383600000.0,1.2452,1.379,1.218
2000-06-30,29257.0,6.48,5346200000.0,2473500000.0,1.2112,1.3077,1.1662
2000-07-31,29257.0,6.48,5391000000.0,2687200000.0,1.226,1.2338,1.121
2000-08-31,29257.0,6.48,5576000000.0,3236500000.0,1.2813,1.3485,1.2035
2000-09-30,29257.0,6.48,5772900000.0,3446200000.0,1.2334,1.2958,1.1892
2000-10-31,29257.0,6.48,5563300000.0,3488300000.0,1.1657,1.2486,1.1438
2000-11-30,29257.0,6.48,5239300000.0,3573900000.0,1.1583,1.1961,1.138
2000-12-31,29257.0,6.48,5226000000.0,3331700000.0,1.1823,1.2343,1.1145
2001-01-31,29257.0,6.48,4890300000.0,2941100000.0,1.2314,1.2872,1.189
2001-02-28,29107.0,6.48,4738500000.0,3177300000.0,1.1896,1.2385,1.17
2001-03-31,28673.0,6.48,5238000000.0,3094400000.0,1.212,1.2407,1.1139
2001-04-30,28713.0,6.48,4785700000.0,2916000000.0,1.0653,1.2198,1.003
2001-05-31,28594.0,6.48,4850600000.0,2912900000.0,1.0715,1.1439,1.0197
2001-06-30,28638.0,6.48,4846700000.0,2703200000.0,1.095,1.1116,1.0054
2001-07-31,28938.0,6.48,4865700000.0,2453300000.0,1.3538,1.356,1.0839
2001-08-31,28555.0,6.48,5123800000.0,2349100000.0,1.3384,1.4907,1.2774
2001-09-30,28957.0,6.48,4350100000.0,2133000000.0,1.2315,1.3521,1.1957
2001-10-31,28596.0,6.48,4519500000.0,2079000000.0,1.1686,1.2438,1.1456
2001-11-30,28022.0,6.48,3894700000.0,2117400000.0,1.1794,1.2058,1.1019
2001-12-31,28103.63618034,6.48,4217200000.0,2085400000.0,1.2661,1.2942,1.1218
2002-01-31,27771.0,6.48,4087600000.0,2088000000.0,1.3042,1.3108,1.1949
2002-02-28,27937.0,6.48,4197000000.0,2182200000.0,1.312,1.3466,1.2046
2002-03-31,28004.0,6.48,4554900000.0,2362700000.0,1.3514,1.3973,1.2634
2002-04-30,28151.0,6.48,4801300000.0,2382900000.0,1.3777,1.4124,1.3247
2002-05-31,28756.0,6.48,4725100000.0,2498200000.0,1.4272,1.4311,1.2696
2002-06-30,29279.0,6.48,5094900000.0,2438900000.0,1.3726,1.4666,1.3562
2002-07-31,30324.0,6.48,5001800000.0,2646200000.0,1.3226,1.3794,1.2689
2002-08-31,30156.0,6.48,4927500000.0,2823800000.0,1.3377,1.3573,1.2943
2002-09-30,30041.0,6.48,5142300000.0,2860200000.0,1.3533,1.3694,1.312
2002-10-31,29897.0,6.48,5328400000.0,3104800000.0,1.3272,1.3838,1.257
2002-11-30,29995.0,6.48,4437200000.0,2955900000.0,1.3651,1.3815,1.2359
2002-12-31,32033.585247439998,6.48,4860600000.0,2945100000.0,1.327,1.3992,1.32
2003-01-31,32182.0,6.48,4997400000.0,2739200000.0,1.3513,1.354,1.3185
2003-02-28,32218.0,6.48,4980900000.0,2818600000.0,1.3297,1.3683,1.3124
2003-03-31,32578.0,6.48,5161900000.0,2817500000.0,1.3251,1.3579,1.3027
2003-04-30,33626.0,6.48,5057100000.0,2621800000.0,1.3708,1.3902,1.3223
2003-05-31,34162.0,6.48,4960600000.0,2575800000.0,1.4356,1.4455,1.3592
2003-06-30,34057.0,6.48,5295300000.0,2446900000.0,1.452,1.4574,1.4196
2003-07-31,33733.0,6.48,5271000000.0,2609300000.0,1.4165,1.4564,1.3608
2003-08-31,33540.0,6.48,5023700000.0,2696200000.0,1.3779,1.4232,1.3647
2003-09-30,34068.0,6.48,5056800000.0,2740300000.0,1.3284,1.392,1.3032
2003-10-31,34842.0,6.48,5057000000.0,2801700000.0,1.2937,1.3293,1.2555
2003-11-30,35114.0,6.48,4961100000.0,2798100000.0,1.289,1.3092,1.2578
2003-12-31,36256.2036416,6.48,5235500000.0,2885300000.0,1.2748,1.295,1.2494
2004-01-31,35975.0,6.48,5043100000.0,3342900000.0,1.2502,1.296,1.2405
2004-02-29,36001.0,6.48,4907700000.0,3389400000.0,1.2906,1.297,1.2444
2004-03-31,37419.0,6.48,5086900000.0,3469700000.0,1.2181,1.3088,1.2069
2004-04-30,37081.0,6.48,5275300000.0,3549900000.0,1.2572,1.2905,1.2044
2004-05-31,36470.0,6.48,5590700000.0,3429100000.0,1.1817,1.2928,1.1754
2004-06-30,34851.0,6.48,5930900000.0,3781900000.0,1.1588,1.1908,1.1343
2004-07-31,34811.0,6.48,5968200000.0,4190700000.0,1.2192,1.2351,1.1488
2004-08-31,34822.0,6.48,6391100000.0,4100800000.0,1.1648,1.2214,1.159
2004-09-30,34802.0,6.48,7240000000.0,4245500000.0,1.2026,1.2315,1.162
2004-10-31,35353.0,6.48,7404600000.0,4156500000.0,1.1642,1.2329,1.1615
2004-11-30,35927.0,6.48,6119800000.0,3895300000.0,1.1435,1.1866,1.1317
2004-12-31,36310.73390932,6.48,6626300000.0,4972800000.0,1.1034,1.1481,1.0964
2005-01-31,36092.0,6.48,6132300000.0,4121399999.9999995,1.1311,1.1403,1.0964
2005-02-28,36542.0,6.48,6381600000.0,4281600000.0000005,1.1287,1.1507,1.1198
2005-03-31,36030.0,6.48,7364700000.0,5177100000.0,1.131,1.1366,1.1064
2005-04-30,36429.0,6.48,6790700000.0,5112500000.0,1.0938,1.1485,1.0774
2005-05-31,34613.0,6.48,7185300000.0,4950100000.0,1.1402,1.1468,1.0933
2005-06-30,33865.0,6.48,6894100000.0,4820700000.0,1.1356,1.1429,1.1114
2005-07-31,32208.0,6.48,7153900000.0,4985500000.0,1.148,1.1591,1.1203
2005-08-31,31180.0,6.48,7274800000.0,5487600000.0,1.0742,1.1673,0.9702
2005-09-30,30318.0,6.48,7521900000.0,4920700000.0,1.1019,1.1095,1.0234
2005-10-31,32646.0,6.48,7951500000.0,4863500000.0,1.1499,1.1637,1.086
2005-11-30,33240.0,6.48,6885500000.0,4090700000.0,1.1951,1.1959,1.1416
2005-12-31,34730.79904925,6.48,8123600000.0,4889500000.0,1.2,1.256,1.1598
2006-01-31,35076.0,6.48,7558600000.0,4389000000.0,1.2512,1.2554,1.1895
2006-02-28,35535.0,6.48,7397600000.0,4527900000.0,1.2607,1.2944,1.2471
2006-03-31,40488.0,6.48,7495900000.0,4410100000.0,1.295,1.3067,1.2518
2006-04-30,42811.0,6.48,7641300000.0,4779700000.0,1.2959,1.3283,1.2892
2006-05-31,44169.0,6.48,8369700000.000001,5097200000.0,1.2166,1.2993,1.1635
2006-06-30,40107.0,6.48,8454100000.0,5724900000.0,1.2355,1.2525,1.1947
2006-07-31,41125.0,6.48,8880800000.0,5425000000.0,1.2609,1.2876,1.2314
2006-08-31,41995.0,6.48,8911200000.0,5704100000.0,1.2873,1.2934,1.2527
2006-09-30,42352.0,6.48,8843900000.0,5647100000.0,1.2839,1.2979,1.2559
2006-10-31,39895.0,6.48,8717100000.0,4582000000.0,1.286,1.3104,1.274
2006-11-30,41579.0,6.48,8918100000.0,5810000000.0,1.2633,1.3007,1.2567
2006-12-31,42597.040281589994,6.48,9610300000.0,4968500000.0,1.3236,1.3257,1.253
2007-01-31,43266.0,6.48,8322400000.0,5283500000.0,1.3263,1.3435,1.3052
2007-02-28,45690.0,6.48,8194600000.0,4663200000.0,1.2974,1.35,1.2856
2007-03-31,47221.0,6.48,9064800000.0,5646600000.0,1.2909,1.3026,1.2433
2007-04-30,49309.0,6.48,8913100000.0,5643600000.0,1.3144,1.3203,1.2862
2007-05-31,50113.0,6.48,9807800000.0,6455400000.0,1.379,1.4076,1.3111
2007-06-30,50924.0,6.48,9557200000.0,6014800000.0,1.3633,1.3939,1.3249
2007-07-31,51880.0,6.48,10039800000.0,6360500000.0,1.2833,1.3718,1.2789
2007-08-31,51426.0,6.48,9595600000.0,6916800000.0,1.2329,1.2942,1.177
2007-09-30,52875.0,6.48,9515700000.0,6791100000.0,1.2555,1.2681,1.1951
2007-10-31,54154.0,6.48,10304000000.0,6286000000.0,1.2681,1.3022,1.2384
2007-11-30,54897.0,6.48,9844000000.0,7574100000.0,1.1866,1.2737,1.1394
2007-12-31,56935.7440233,6.48,10942000000.0,6837800000.0,1.1863,1.2177,1.1785
2008-01-31,55999.0,6.48,11191600000.0,9608100000.0,1.1504,1.194,1.1136
2008-02-29,57125.0,6.48,10545500000.0,9842900000.0,1.1456,1.1916,1.1441
2008-03-31,58987.0,6.48,12008900000.0,10276700000.0,1.0845,1.1464,1.0269
2008-04-30,58770.0,6.48,10921700000.0,11646600000.0,1.1269,1.1393,1.0803
2008-05-31,57464.0,6.48,12910300000.0,11664200000.0,1.1328,1.1466,1.1004
2008-06-30,59453.0,6.48,12818500000.0,12110500000.0,1.1505,1.1731,1.1143
2008-07-31,60563.0,6.48,12527800000.0,12869800000.0,1.1858,1.1919,1.1344
2008-08-31,58356.0,6.48,12466800000.0,12326200000.0,1.1892,1.2117,1.1791
2008-09-30,57108.0,6.48,12277200000.0,11342900000.0,1.1244,1.1877,1.0949
2008-10-31,50580.0,6.48,10789900000.0,10732500000.0,0.9034,1.1376,0.7854
2008-11-30,50182.0,6.48,9665700000.0,9081300000.0,0.7941,0.9295,0.7476
2008-12-31,51640.62572132,6.48,8896500000.0,7695600000.0,0.8309,0.8563,0.7537
2009-01-31,50870.0,6.48,7280100000.0,6600600000.0,0.7907,0.87,0.7769
2009-02-28,50564.0,6.48,7134300000.0,5939000000.0,0.8143,0.8245,0.74
2009-03-31,54840.0,6.48,8614700000.0,6554100000.0,0.8554,0.864,0.7873
2009-04-30,56566.0,6.48,8454000000.0,6706800000.0,0.9315,0.9353,0.8433
2009-05-31,57934.0,6.48,9208800000.0,7641300000.0,0.9263,0.9623,0.8732
2009-06-30,57576.0,6.48,9381500000.0,7935500000.0,0.9437,0.9946,0.9075
2009-07-31,57418.0,6.48,9684100000.0,8683300000.0,0.9539,0.966,0.8965
