"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","4,458.84","4,434.91","4,483.39","4,427.08","","0.51%"
"01/01/2025","4,436.00","4,382.00","4,463.00","4,381.50","","1.28%"
"12/01/2024","4,380.00","4,313.50","4,444.00","4,310.00","","1.58%"
"11/01/2024","4,312.00","4,273.00","4,344.00","4,252.00","","0.96%"
"10/01/2024","4,271.00","4,122.00","4,296.00","4,121.50","","3.67%"
"09/01/2024","4,120.00","4,207.50","4,243.00","4,101.50","","-2.04%"
"08/01/2024","4,206.00","4,427.00","4,433.00","4,164.50","","-4.95%"
"07/01/2024","4,425.00","4,458.50","4,472.50","4,383.00","","-0.72%"
"06/01/2024","4,457.00","4,424.50","4,487.50","4,408.00","","0.77%"
"05/01/2024","4,423.00","4,427.50","4,431.00","4,332.00","","-0.05%"
"04/01/2024","4,425.00","4,316.50","4,435.50","4,313.00","","2.55%"
"03/01/2024","4,315.00","4,278.50","4,328.00","4,235.50","","0.89%"
"02/01/2024","4,277.00","4,296.00","4,302.50","4,233.00","","-0.40%"
"01/01/2024","4,294.00","4,192.00","4,314.50","4,192.00","","2.46%"
"12/01/2023","4,191.00","4,223.50","4,269.00","4,187.50","","-0.71%"
"11/01/2023","4,221.00","4,325.00","4,343.50","4,181.50","","-2.36%"
"10/01/2023","4,323.00","4,208.00","4,347.50","4,207.50","","2.78%"
"09/01/2023","4,206.00","4,146.50","4,231.50","4,142.50","","1.50%"
"08/01/2023","4,144.00","4,105.50","4,182.00","4,088.50","","0.97%"
"07/01/2023","4,104.00","4,082.00","4,144.50","4,060.00","","0.56%"
"06/01/2023","4,081.00","4,081.50","4,098.50","4,035.00","","0.05%"
"05/01/2023","4,079.00","3,995.00","4,089.00","3,966.00","","2.15%"
"04/01/2023","3,993.00","4,082.50","4,087.50","3,983.50","","-2.16%"
"03/01/2023","4,081.00","4,152.00","4,214.50","4,070.00","","-1.66%"
"02/01/2023","4,150.00","4,081.00","4,169.00","4,043.00","","1.74%"
"01/01/2023","4,079.00","4,239.00","4,259.00","4,052.00","","-3.75%"
"12/01/2022","4,238.00","4,283.00","4,292.00","4,181.50","","-1.03%"
"11/01/2022","4,282.00","4,246.50","4,292.00","4,190.50","","0.87%"
"10/01/2022","4,245.00","4,146.00","4,261.00","4,126.00","","2.41%"
"09/01/2022","4,145.00","4,041.00","4,160.50","4,033.50","","2.60%"
"08/01/2022","4,040.00","4,038.00","4,082.00","3,990.50","","0.07%"
"07/01/2022","4,037.00","4,056.00","4,094.50","4,037.50","","-0.44%"
"06/01/2022","4,055.00","3,969.50","4,056.00","3,926.00","","2.17%"
"05/01/2022","3,969.00","3,947.00","4,012.50","3,945.50","","0.58%"
"04/01/2022","3,946.00","3,912.00","3,948.50","3,901.00","","0.89%"
"03/01/2022","3,911.00","3,911.00","3,926.00","3,881.00","","0.03%"
"02/01/2022","3,910.00","3,916.00","3,923.00","3,878.50","","-0.13%"
"01/01/2022","3,915.00","3,880.50","3,923.50","3,878.00","","0.93%"
"12/01/2021","3,879.00","3,899.00","3,934.00","3,860.50","","-0.49%"
"11/01/2021","3,898.00","3,857.00","3,918.50","3,857.00","","1.09%"
"10/01/2021","3,856.00","3,896.50","3,905.00","3,822.50","","-1.03%"
"09/01/2021","3,896.00","3,884.50","3,902.50","3,862.00","","0.33%"
"08/01/2021","3,883.00","3,937.00","3,943.50","3,882.00","","-1.35%"
"07/01/2021","3,936.00","3,947.50","3,967.50","3,929.50","","-0.25%"
"06/01/2021","3,946.00","3,887.50","3,964.00","3,861.00","","1.54%"
"05/01/2021","3,886.00","3,932.50","3,942.00","3,849.50","","-1.14%"
"04/01/2021","3,931.00","3,954.50","3,985.50","3,927.00","","-0.56%"
"03/01/2021","3,953.00","3,882.00","3,970.00","3,875.00","","1.99%"
"02/01/2021","3,876.00","3,819.50","3,886.50","3,775.00","","1.55%"
"01/01/2021","3,817.00","3,825.00","3,871.00","3,774.00","","-0.13%"
"12/01/2020","3,822.00","3,844.50","3,886.00","3,825.00","","-0.36%"
"11/01/2020","3,836.00","3,981.50","4,006.50","3,809.50","","-3.62%"
"10/01/2020","3,980.00","4,051.00","4,058.50","3,975.50","","-1.49%"
"09/01/2020","4,040.00","3,965.00","4,077.00","3,957.00","","1.92%"
"08/01/2020","3,964.00","3,975.00","4,051.50","3,938.00","","0.23%"
"07/01/2020","3,955.00","3,881.00","4,045.50","3,878.00","","2.46%"
"06/01/2020","3,860.00","3,977.50","3,983.00","3,770.00","","-2.72%"
"05/01/2020","3,968.00","4,050.00","4,125.00","3,976.50","","-1.68%"
"04/01/2020","4,036.00","4,440.50","4,512.50","4,044.50","","-9.06%"
"03/01/2020","4,438.00","3,906.00","4,530.50","3,837.50","","13.68%"
"02/01/2020","3,904.00","3,717.50","3,906.50","3,702.50","","5.06%"
"01/01/2020","3,716.00","3,779.50","3,803.50","3,694.50","","-1.64%"
"12/01/2019","3,778.00","3,840.50","3,847.50","3,774.00","","-1.56%"
"11/01/2019","3,838.00","3,821.50","3,844.00","3,803.00","","0.47%"
"10/01/2019","3,820.00","3,864.50","3,871.00","3,807.50","","-1.11%"
"09/01/2019","3,863.00","3,862.00","3,875.50","3,789.00","","0.08%"
"08/01/2019","3,860.00","3,816.00","3,909.50","3,816.00","","1.21%"
"07/01/2019","3,814.00","3,846.50","3,857.50","3,781.00","","-0.81%"
"06/01/2019","3,845.00","3,886.50","3,908.00","3,833.00","","-1.03%"
"05/01/2019","3,885.00","3,879.50","3,955.50","3,867.50","","0.18%"
"04/01/2019","3,878.00","3,877.00","3,883.50","3,810.00","","0.08%"
"03/01/2019","3,875.00","3,829.00","3,904.50","3,829.00","","1.23%"
"02/01/2019","3,828.00","3,804.00","3,855.00","3,781.00","","0.66%"
"01/01/2019","3,803.00","3,915.00","3,945.50","3,800.50","","-2.81%"
"12/01/2018","3,913.00","3,894.00","3,990.00","3,868.50","","0.51%"
