"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","10.281,44","10.155,48","10.303,53","10.006,21","","1,59%"
"01/01/2025","10.120,82","9.958,78","10.290,44","9.935,17","","1,67%"
"01/12/2024","9.954,88","10.325,40","10.369,77","9.944,30","","-3,46%"
"01/11/2024","10.311,84","10.331,24","10.525,14","10.209,90","","-0,13%"
"01/10/2024","10.325,59","10.463,26","10.684,63","10.262,96","","-1,30%"
"01/09/2024","10.461,31","10.466,91","10.562,05","10.197,11","","0,10%"
"01/08/2024","10.450,38","10.627,52","10.647,03","10.261,48","","-1,70%"
"01/07/2024","10.630,77","10.918,85","11.025,20","10.545,42","","-2,59%"
"01/06/2024","10.913,88","10.811,13","10.990,03","10.648,70","","1,00%"
"01/05/2024","10.806,17","10.523,47","10.845,25","10.511,28","","2,73%"
"01/04/2024","10.518,61","10.339,84","10.701,39","10.152,68","","1,77%"
"01/03/2024","10.335,79","10.213,96","10.410,40","10.187,74","","1,30%"
"01/02/2024","10.203,65","10.361,94","10.390,79","10.045,98","","-1,47%"
"01/01/2024","10.356,29","10.486,90","10.575,29","10.204,32","","-1,22%"
"01/12/2023","10.484,00","10.245,91","10.602,73","10.132,55","","2,39%"
"01/11/2023","10.239,50","10.064,74","10.306,72","9.942,50","","1,77%"
"01/10/2023","10.061,57","9.939,12","10.152,99","9.791,25","","1,22%"
"01/09/2023","9.940,53","9.872,08","10.049,62","9.679,03","","0,71%"
"01/08/2023","9.870,37","10.135,27","10.142,66","9.726,54","","-2,49%"
"01/07/2023","10.122,86","9.994,75","10.321,59","9.927,12","","1,31%"
"01/06/2023","9.992,33","9.748,00","10.316,91","9.719,52","","2,59%"
"01/05/2023","9.740,25","9.696,14","10.041,71","9.679,79","","0,44%"
"01/04/2023","9.697,96","10.032,08","10.171,37","9.641,86","","-3,22%"
"01/03/2023","10.020,82","10.261,73","10.373,22","10.000,58","","-2,30%"
"01/02/2023","10.256,84","10.578,45","10.719,86","10.222,84","","-2,97%"
"01/01/2023","10.570,42","10.607,70","10.826,72","10.377,21","","-0,32%"
"01/12/2022","10.604,43","10.673,82","10.794,72","10.342,34","","-0,66%"
"01/11/2022","10.674,38","9.981,62","10.699,78","9.844,07","","7,00%"
"01/10/2022","9.976,12","9.760,83","10.160,79","9.478,04","","2,35%"
"01/09/2022","9.747,05","10.154,50","10.273,53","9.680,67","","-3,96%"
"01/08/2022","10.149,08","10.356,79","10.574,74","10.144,11","","-2,02%"
"01/07/2022","10.358,76","10.283,75","10.527,92","10.016,49","","0,78%"
"01/06/2022","10.279,04","10.462,59","10.548,33","10.068,53","","-1,73%"
"01/05/2022","10.459,69","10.253,00","10.535,70","9.967,57","","2,17%"
"01/04/2022","10.237,82","10.752,33","10.993,00","10.226,91","","-4,74%"
"01/03/2022","10.747,26","10.432,59","10.830,76","10.266,33","","3,02%"
"01/02/2022","10.431,86","10.166,64","10.445,58","10.114,14","","2,70%"
"01/01/2022","10.158,03","10.350,17","10.455,68","10.023,77","","-1,81%"
"01/12/2021","10.345,50","10.206,21","10.382,46","10.067,45","","1,43%"
"01/11/2021","10.200,14","10.639,09","10.747,42","10.115,26","","-4,26%"
"01/10/2021","10.653,50","10.340,78","10.709,46","10.297,29","","3,03%"
"01/09/2021","10.340,41","10.438,11","10.666,21","10.247,00","","-0,91%"
"01/08/2021","10.434,85","10.617,64","10.648,13","10.262,50","","-1,74%"
"01/07/2021","10.619,42","10.872,10","10.992,22","10.589,44","","-2,29%"
"01/06/2021","10.868,35","11.045,58","11.101,28","10.746,04","","-1,53%"
"01/05/2021","11.037,43","11.147,93","11.235,16","10.914,33","","-0,94%"
"01/04/2021","11.141,90","11.034,64","11.343,54","10.968,96","","1,02%"
"01/03/2021","11.029,39","10.998,03","11.306,40","10.900,17","","0,52%"
"01/02/2021","10.971,92","10.725,95","11.277,97","10.607,11","","2,41%"
"01/01/2021","10.714,08","10.811,47","10.996,67","10.617,87","","-0,82%"
"01/12/2020","10.802,38","10.371,15","10.879,62","10.364,08","","4,38%"
"01/11/2020","10.349,11","10.286,50","10.534,02","10.185,06","","0,75%"
"01/10/2020","10.272,01","10.657,06","10.698,89","10.239,70","","-3,35%"
"01/09/2020","10.628,41","10.742,76","10.905,39","10.417,18","","-1,02%"
"01/08/2020","10.738,00","10.433,17","10.796,91","10.336,79","","3,48%"
"01/07/2020","10.377,33","9.840,24","10.556,84","9.809,34","","6,03%"
"01/06/2020","9.787,04","9.725,92","10.068,16","9.528,11","","0,73%"
"01/05/2020","9.715,70","9.685,12","9.863,16","9.477,62","","0,67%"
"01/04/2020","9.651,08","10.002,92","10.156,24","9.653,14","","-3,49%"
"01/03/2020","10.000,05","9.307,94","10.165,21","8.483,54","","7,14%"
"01/02/2020","9.333,91","9.135,88","9.385,42","9.052,74","","2,20%"
"01/01/2020","9.133,22","9.748,29","9.760,79","9.124,27","","-6,28%"
"01/12/2019","9.745,15","9.535,69","9.787,38","9.525,40","","2,18%"
"01/11/2019","9.537,24","9.677,11","9.718,92","9.524,55","","-1,40%"
"01/10/2019","9.672,26","9.581,63","9.719,18","9.468,07","","1,04%"
"01/09/2019","9.572,57","9.534,45","9.683,97","9.499,78","","0,22%"
"01/08/2019","9.551,65","9.594,63","9.763,82","9.506,75","","-0,40%"
"01/07/2019","9.589,81","9.927,39","9.948,94","9.575,71","","-3,29%"
"01/06/2019","9.915,75","9.898,29","10.026,04","9.761,99","","0,15%"
"01/05/2019","9.900,53","10.044,83","10.090,29","9.848,07","","-1,39%"
"01/04/2019","10.039,88","10.133,18","10.159,17","9.870,73","","-0,58%"
"01/03/2019","10.098,31","9.977,71","10.169,23","9.902,95","","1,24%"
"01/02/2019","9.974,16","10.162,20","10.171,29","9.866,68","","-1,86%"
"01/01/2019","10.163,18","10.135,03","10.278,87","9.792,76","","0,30%"
"01/12/2018","10.132,94","10.538,08","10.568,22","10.111,30","","-3,13%"
"01/11/2018","10.460,45","10.752,73","10.934,82","10.417,22","","-2,70%"
"01/10/2018","10.750,96","10.776,02","10.875,39","10.681,22","","-0,17%"
"01/09/2018","10.769,72","10.601,18","10.903,75","10.517,01","","1,72%"
"01/08/2018","10.587,28","10.709,74","10.766,92","10.492,93","","-1,10%"
"01/07/2018","10.704,58","10.597,76","10.808,08","10.511,78","","0,95%"
"01/06/2018","10.603,37","10.516,43","10.641,30","10.232,98","","0,88%"
"01/05/2018","10.510,56","10.477,50","10.771,38","10.395,42","","0,33%"
"01/04/2018","10.475,62","10.583,22","10.766,91","10.460,86","","-0,85%"
"01/03/2018","10.564,93","10.668,18","10.875,88","10.513,41","","-0,93%"
"01/02/2018","10.663,61","10.785,78","10.832,57","10.565,64","","-1,10%"
"01/01/2018","10.781,89","10.585,37","10.899,80","10.478,50","","1,89%"
"01/12/2017","10.582,06","10.235,80","10.617,93","10.160,63","","3,42%"
"01/11/2017","10.232,26","10.384,81","10.477,24","10.192,75","","-1,43%"
"01/10/2017","10.380,18","10.561,66","10.662,88","10.359,71","","-1,62%"
"01/09/2017","10.551,05","10.603,68","10.762,67","10.502,35","","-0,48%"
"01/08/2017","10.601,55","10.664,00","10.712,05","10.430,26","","-0,57%"
"01/07/2017","10.661,86","10.238,86","10.745,11","10.115,88","","4,10%"
"01/06/2017","10.241,60","9.897,29","10.280,83","9.807,93","","3,49%"
"01/05/2017","9.896,17","9.943,43","10.065,58","9.780,79","","-0,78%"
"01/04/2017","9.973,93","10.162,03","10.185,34","9.901,97","","-1,86%"
"01/03/2017","10.162,78","10.211,38","10.324,83","10.026,49","","-0,44%"
"01/02/2017","10.207,55","10.128,83","10.337,68","10.079,92","","0,85%"
"01/01/2017","10.121,03","9.739,95","10.158,58","9.650,36","","4,14%"
"01/12/2016","9.718,61","10.008,52","10.104,53","9.623,25","","-2,84%"
"01/11/2016","10.002,61","9.930,18","10.288,80","9.817,52","","0,76%"
"01/10/2016","9.927,46","9.994,46","10.063,25","9.794,56","","-0,59%"
"01/09/2016","9.986,17","9.974,50","10.111,34","9.799,79","","0,19%"
"01/08/2016","9.967,32","9.945,69","10.173,46","9.811,61","","0,20%"
"01/07/2016","9.947,17","9.844,63","10.049,27","9.722,89","","1,11%"
"01/06/2016","9.837,49","9.884,38","10.141,99","9.674,26","","-0,34%"
"01/05/2016","9.871,20","10.027,86","10.171,76","9.635,21","","-1,48%"
"01/04/2016","10.019,44","10.154,50","10.311,53","9.857,50","","-1,24%"
"01/03/2016","10.145,38","9.548,95","10.249,76","9.491,41","","6,33%"
"01/02/2016","9.541,36","9.763,72","9.897,72","9.380,59","","-2,16%"
"01/01/2016","9.751,91","10.037,30","10.085,21","9.484,39","","-2,76%"
"01/12/2015","10.028,59","9.999,25","10.253,47","9.749,44","","0,35%"
"01/11/2015","9.993,56","9.735,93","10.033,14","9.513,02","","2,39%"
"01/10/2015","9.759,85","10.286,50","10.395,90","9.540,72","","-5,03%"
"01/09/2015","10.276,40","9.993,76","10.521,45","9.766,77","","2,91%"
"01/08/2015","9.986,00","9.885,90","10.264,47","9.798,36","","1,11%"
"01/07/2015","9.875,96","10.275,36","10.318,96","9.759,73","","-3,83%"
"01/06/2015","10.269,43","10.108,42","10.444,42","10.045,13","","1,71%"
"01/05/2015","10.097,08","10.246,86","10.724,80","10.070,82","","-1,42%"
"01/04/2015","10.242,29","9.945,50","10.451,64","9.770,38","","3,04%"
"01/03/2015","9.939,74","10.131,91","10.331,87","9.918,74","","-1,48%"
"01/02/2015","10.089,23","9.797,68","10.174,66","9.636,65","","2,58%"
