"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","2.818,65","2.799,65","2.887,46","2.776,48","","1,05%"
"01/01/2025","2.789,28","2.602,39","2.805,22","2.600,09","","7,23%"
"01/12/2024","2.601,29","2.656,80","2.714,59","2.548,15","","-1,90%"
"01/11/2024","2.651,62","2.711,41","2.794,68","2.590,79","","-2,17%"
"01/10/2024","2.710,41","2.777,96","2.892,99","2.701,65","","-2,39%"
"01/09/2024","2.776,86","2.761,20","2.834,94","2.713,95","","0,86%"
"01/08/2024","2.753,13","2.876,23","2.914,52","2.713,57","","-4,29%"
"01/07/2024","2.876,48","2.924,26","3.023,50","2.855,84","","-1,70%"
"01/06/2024","2.926,35","3.097,69","3.112,92","2.924,36","","-5,50%"
"01/05/2024","3.096,70","3.130,53","3.188,96","3.089,35","","-1,05%"
"01/04/2024","3.129,63","3.161,71","3.186,00","3.038,18","","-0,97%"
"01/03/2024","3.160,14","3.161,47","3.192,20","3.108,41","","0,02%"
"01/02/2024","3.159,57","3.187,46","3.210,70","3.120,25","","-0,79%"
"01/01/2024","3.184,68","3.172,45","3.227,39","3.124,59","","0,38%"
"01/12/2023","3.172,53","3.153,83","3.216,48","3.119,76","","0,70%"
"01/11/2023","3.150,46","3.154,48","3.237,81","3.134,82","","-0,06%"
"01/10/2023","3.152,23","3.078,49","3.232,87","2.989,84","","2,71%"
"01/09/2023","3.068,95","3.073,39","3.178,34","3.055,11","","-0,07%"
"01/08/2023","3.071,17","3.191,80","3.200,80","3.055,53","","-3,70%"
"01/07/2023","3.189,19","3.135,35","3.215,01","3.038,83","","1,87%"
"01/06/2023","3.130,74","2.965,21","3.156,06","2.963,18","","5,68%"
"01/05/2023","2.962,52","2.941,39","3.034,60","2.906,56","","0,78%"
"01/04/2023","2.939,47","2.962,24","3.027,19","2.911,92","","-0,70%"
"01/03/2023","2.960,23","2.912,00","3.026,29","2.836,90","","1,69%"
"01/02/2023","2.910,91","2.956,51","3.012,11","2.850,43","","-1,44%"
"01/01/2023","2.953,29","2.930,10","3.026,07","2.843,09","","0,32%"
"01/12/2022","2.944,01","3.033,72","3.047,79","2.902,01","","-2,94%"
"01/11/2022","3.033,17","3.010,96","3.135,93","2.831,89","","0,75%"
"01/10/2022","3.010,56","2.814,94","3.041,10","2.814,94","","7,10%"
"01/09/2022","2.811,06","2.863,52","2.941,41","2.792,36","","-1,79%"
"01/08/2022","2.862,21","2.865,69","2.973,46","2.805,05","","-0,14%"
"01/07/2022","2.866,25","2.833,90","2.895,13","2.722,01","","1,16%"
"01/06/2022","2.833,26","3.080,71","3.088,02","2.805,90","","-8,01%"
"01/05/2022","3.079,85","2.917,40","3.104,09","2.801,59","","5,66%"
"01/04/2022","2.914,74","3.031,75","3.132,08","2.861,25","","-3,82%"
"01/03/2022","3.030,58","2.781,90","3.046,54","2.754,29","","8,87%"
