"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","11.425,41","11.249,50","11.449,92","11.101,46","","1,88%"
"01/01/2025","11.214,73","11.190,69","11.472,25","11.140,81","","0,26%"
"01/12/2024","11.185,26","11.312,20","11.378,40","11.120,71","","-1,12%"
"01/11/2024","11.311,86","11.265,84","11.432,16","11.192,61","","0,46%"
"01/10/2024","11.260,23","11.194,09","11.560,70","11.173,90","","0,63%"
"01/09/2024","11.189,56","11.457,91","11.538,89","11.107,02","","-2,26%"
"01/08/2024","11.448,68","11.776,63","11.782,18","11.314,11","","-2,74%"
"01/07/2024","11.771,31","11.971,34","12.027,25","11.730,87","","-1,62%"
"01/06/2024","11.964,63","11.923,98","12.060,95","11.759,86","","0,39%"
"01/05/2024","11.918,56","11.803,13","11.932,74","11.635,14","","1,04%"
"01/04/2024","11.796,08","11.705,43","11.917,69","11.473,57","","0,79%"
"01/03/2024","11.703,46","11.573,45","11.723,60","11.504,10","","1,18%"
"01/02/2024","11.566,78","11.744,13","11.794,04","11.472,05","","-1,49%"
"01/01/2024","11.741,72","11.622,57","11.814,03","11.545,57","","1,06%"
"01/12/2023","11.618,87","11.435,95","11.736,28","11.390,92","","1,63%"
"01/11/2023","11.432,68","11.449,06","11.543,08","11.211,54","","-0,11%"
"01/10/2023","11.445,05","11.387,00","11.659,90","11.314,95","","0,58%"
"01/09/2023","11.378,70","11.274,80","11.522,33","11.142,44","","0,98%"
"01/08/2023","11.268,60","11.433,33","11.445,28","11.188,92","","-1,40%"
"01/07/2023","11.429,11","11.321,50","11.472,32","11.248,22","","0,95%"
"01/06/2023","11.321,75","11.044,80","11.443,92","11.033,01","","2,57%"
"01/05/2023","11.037,86","10.830,96","11.093,65","10.706,01","","2,02%"
"01/04/2023","10.819,68","11.092,66","11.162,89","10.732,32","","-2,44%"
"01/03/2023","11.089,74","11.178,71","11.295,71","10.977,51","","-0,71%"
"01/02/2023","11.169,32","11.266,44","11.420,88","11.091,46","","-0,81%"
"01/01/2023","11.260,99","11.488,08","11.655,57","11.097,65","","-1,95%"
"01/12/2022","11.484,54","11.730,74","11.737,74","11.367,31","","-2,09%"
"01/11/2022","11.729,18","11.448,13","11.800,82","11.366,45","","2,48%"
"01/10/2022","11.445,03","11.021,24","11.536,46","10.989,38","","3,96%"
"01/09/2022","11.008,68","11.301,25","11.465,68","10.954,02","","-2,57%"
"01/08/2022","11.298,92","11.574,78","11.664,32","11.293,94","","-2,52%"
"01/07/2022","11.590,47","11.572,67","11.720,80","11.336,49","","0,17%"
"01/06/2022","11.570,73","11.529,21","11.604,97","11.326,68","","0,37%"
"01/05/2022","11.527,51","11.290,06","11.546,56","11.151,80","","2,27%"
"01/04/2022","11.271,38","11.493,36","11.567,89","11.218,54","","-1,92%"
"01/03/2022","11.491,64","11.331,79","11.540,41","11.114,79","","1,43%"
"01/02/2022","11.329,76","11.317,29","11.374,79","11.167,41","","0,13%"
"01/01/2022","11.314,82","11.281,07","11.536,61","11.162,32","","0,35%"
"01/12/2021","11.275,52","11.208,72","11.388,97","11.025,05","","0,63%"
"01/11/2021","11.205,01","11.430,93","11.581,92","11.156,33","","-1,98%"
"01/10/2021","11.431,68","11.288,35","11.520,96","11.236,79","","1,31%"
"01/09/2021","11.283,71","11.303,67","11.418,22","11.043,70","","-0,19%"
"01/08/2021","11.305,28","11.589,47","11.603,88","11.160,24","","-2,47%"
"01/07/2021","11.592,11","11.694,49","11.809,28","11.334,27","","-0,85%"
"01/06/2021","11.691,40","11.836,87","11.896,04","11.517,05","","-1,18%"
"01/05/2021","11.830,76","11.754,42","11.937,63","11.633,49","","0,72%"
"01/04/2021","11.746,52","11.562,65","11.830,71","11.471,65","","1,63%"
"01/03/2021","11.558,67","11.208,05","11.658,58","11.193,09","","3,44%"
"01/02/2021","11.174,76","10.980,67","11.328,62","10.895,25","","1,87%"
"01/01/2021","10.969,41","11.033,89","11.145,18","10.856,32","","-0,49%"
"01/12/2020","11.023,00","10.859,88","11.141,11","10.854,86","","1,73%"
"01/11/2020","10.835,13","10.983,03","11.139,54","10.710,88","","-1,28%"
"01/10/2020","10.975,15","11.170,33","11.249,91","10.921,51","","-1,49%"
"01/09/2020","11.141,14","11.165,85","11.372,37","11.032,31","","-0,16%"
"01/08/2020","11.158,80","10.894,72","11.299,80","10.850,84","","3,04%"
"01/07/2020","10.829,54","10.500,16","10.980,86","10.483,96","","3,71%"
"01/06/2020","10.442,60","10.600,79","10.802,63","10.246,08","","-1,32%"
"01/05/2020","10.582,30","10.665,77","10.821,11","10.469,75","","-0,44%"
"01/04/2020","10.628,76","11.600,29","11.762,61","10.655,83","","-8,29%"
"01/03/2020","11.589,87","10.697,11","11.698,59","10.385,25","","8,31%"
"01/02/2020","10.700,69","10.315,39","10.713,89","10.232,91","","3,77%"
"01/01/2020","10.312,00","10.688,71","10.764,11","10.302,55","","-3,51%"
"01/12/2019","10.687,61","10.622,04","10.720,91","10.561,04","","0,65%"
"01/11/2019","10.618,27","10.663,17","10.742,14","10.566,82","","-0,39%"
"01/10/2019","10.660,18","10.720,49","10.783,33","10.591,74","","-0,51%"
"01/09/2019","10.715,09","10.654,59","10.732,65","10.508,70","","0,61%"
"01/08/2019","10.650,44","10.625,38","10.887,86","10.603,28","","0,28%"
"01/07/2019","10.620,78","10.790,53","10.847,72","10.606,89","","-1,54%"
"01/06/2019","10.787,38","10.557,26","10.819,87","10.551,01","","2,17%"
"01/05/2019","10.558,64","10.646,25","10.876,08","10.521,08","","-0,77%"
"01/04/2019","10.640,92","10.663,47","10.702,62","10.423,37","","-0,22%"
"01/03/2019","10.664,52","10.677,96","10.755,91","10.496,23","","-0,11%"
"01/02/2019","10.675,78","10.646,12","10.708,03","10.471,44","","0,29%"
"01/01/2019","10.645,43","10.545,62","10.773,11","10.488,49","","1,00%"
"01/12/2018","10.540,40","10.787,83","10.959,08","10.522,46","","-1,97%"
"01/11/2018","10.752,69","11.555,57","11.577,76","10.725,93","","-6,93%"
"01/10/2018","11.552,79","11.549,76","11.810,09","11.541,53","","0,08%"
"01/09/2018","11.543,23","11.296,88","11.549,76","11.234,08","","2,22%"
"01/08/2018","11.292,18","11.088,04","11.377,89","10.985,05","","1,91%"
"01/07/2018","11.080,79","10.904,39","11.106,83","10.836,59","","1,60%"
"01/06/2018","10.906,81","10.723,93","10.915,60","10.455,61","","1,77%"
"01/05/2018","10.717,59","10.835,29","11.115,46","10.695,04","","-1,02%"
"01/04/2018","10.828,27","10.668,47","10.991,26","10.625,37","","1,49%"
"01/03/2018","10.669,15","10.712,33","10.760,95","10.485,30","","-0,34%"
"01/02/2018","10.705,94","10.871,71","10.960,39","10.700,74","","-1,50%"
"01/01/2018","10.868,72","10.785,83","10.931,17","10.633,25","","0,80%"
"01/12/2017","10.782,13","10.487,71","10.843,16","10.482,43","","2,84%"
"01/11/2017","10.484,53","10.522,54","10.692,17","10.476,34","","-0,35%"
"01/10/2017","10.521,42","10.798,79","10.868,78","10.500,54","","-2,58%"
"01/09/2017","10.800,19","10.689,79","10.998,01","10.679,96","","1,06%"
"01/08/2017","10.687,28","10.677,94","10.723,07","10.455,03","","0,10%"
"01/07/2017","10.676,28","10.278,80","10.742,71","10.251,78","","3,89%"
"01/06/2017","10.276,09","9.867,79","10.294,29","9.819,49","","4,16%"
"01/05/2017","9.865,22","9.760,54","9.941,37","9.667,83","","1,07%"
"01/04/2017","9.760,51","10.016,17","10.029,10","9.730,26","","-2,43%"
"01/03/2017","10.003,75","10.026,32","10.062,87","9.887,55","","-0,18%"
"01/02/2017","10.021,80","10.245,55","10.288,05","10.015,39","","-2,15%"
"01/01/2017","10.241,71","10.026,79","10.295,71","9.998,88","","2,15%"
"01/12/2016","10.026,05","10.084,46","10.204,86","9.881,15","","-0,58%"
"01/11/2016","10.084,10","9.732,23","10.147,88","9.705,92","","3,66%"
"01/10/2016","9.727,86","9.945,51","10.002,69","9.711,92","","-2,10%"
"01/09/2016","9.936,03","10.123,22","10.235,08","9.753,80","","-1,84%"
"01/08/2016","10.122,09","10.053,73","10.293,07","9.944,33","","0,77%"
"01/07/2016","10.044,48","10.222,83","10.240,88","9.914,37","","-1,71%"
"01/06/2016","10.219,71","10.432,66","10.581,24","10.051,11","","-1,99%"
"01/05/2016","10.427,64","10.505,98","10.577,42","10.210,12","","-0,67%"
"01/04/2016","10.497,81","10.196,87","10.557,93","9.983,69","","3,01%"
"01/03/2016","10.190,67","9.874,83","10.315,05","9.728,21","","3,24%"
"01/02/2016","9.870,77","9.858,30","10.008,35","9.585,76","","0,18%"
"01/01/2016","9.853,31","9.961,71","10.038,48","9.489,91","","-1,06%"
"01/12/2015","9.958,82","10.353,60","10.415,70","9.708,50","","-3,77%"
"01/11/2015","10.349,47","10.462,86","10.480,29","10.180,95","","-1,01%"
"01/10/2015","10.454,89","11.005,53","11.142,17","10.173,24","","-4,92%"
"01/09/2015","10.996,40","10.694,99","11.070,59","10.604,13","","2,90%"
"01/08/2015","10.686,30","10.329,10","10.712,92","10.213,21","","3,43%"
"01/07/2015","10.331,53","10.671,12","10.697,11","10.244,91","","-3,16%"
"01/06/2015","10.668,27","10.629,79","10.972,29","10.523,70","","0,45%"
"01/05/2015","10.620,88","10.732,77","11.023,25","10.543,88","","-1,02%"
"01/04/2015","10.730,25","10.308,26","10.833,89","10.194,58","","4,17%"
"01/03/2015","10.300,26","10.354,92","10.556,69","10.215,92","","-0,27%"
"01/02/2015","10.327,74","9.948,95","10.383,92","9.929,94","","3,83%"
"01/01/2015","9.946,60","10.656,51","10.793,25","9.896,88","","-6,62%"
"01/12/2014","10.651,29","10.685,12","11.111,12","10.648,25","","-0,32%"
"01/11/2014","10.685,88","10.727,44","10.855,60","10.588,16","","-0,32%"
"01/10/2014","10.720,62","10.882,87","11.034,48","10.599,75","","-1,40%"
"01/09/2014","10.873,06","10.747,95","10.997,85","10.649,61","","1,26%"
"01/08/2014","10.737,92","10.615,24","10.861,30","10.607,93","","1,21%"
"01/07/2014","10.609,53","11.108,51","11.264,46","10.591,43","","-4,39%"
"01/06/2014","11.097,06","10.764,83","11.336,21","10.756,76","","3,13%"
"01/05/2014","10.760,72","10.547,37","10.790,21","10.436,20","","2,09%"
"01/04/2014","10.540,81","10.280,54","10.575,56","10.184,08","","2,59%"
"01/03/2014","10.275,09","10.502,08","10.540,93","10.037,26","","-2,00%"
"01/02/2014","10.485,23","10.968,38","11.088,82","10.416,95","","-4,37%"
"01/01/2014","10.963,89","11.456,82","11.552,04","10.873,26","","-4,19%"
"01/12/2013","11.443,63","11.271,02","11.583,92","11.015,12","","1,63%"
"01/11/2013","11.260,24","10.807,25","11.369,77","10.797,93","","4,28%"
"01/10/2013","10.798,50","11.232,36","11.266,72","10.479,74","","-3,77%"
"01/09/2013","11.221,03","10.377,76","11.336,57","10.356,11","","8,42%"
"01/08/2013","10.350,06","10.000,97","10.454,25","9.844,93","","3,59%"
"01/07/2013","9.991,24","9.438,45","10.031,72","9.370,88","","5,97%"
"01/06/2013","9.428,76","9.451,91","9.788,86","9.403,13","","-0,02%"
"01/05/2013","9.430,69","9.652,04","9.717,37","9.396,23","","-2,24%"
"01/04/2013","9.646,69","9.545,67","9.669,32","9.432,22","","1,01%"
"01/03/2013","9.549,79","9.377,94","9.597,66","9.356,12","","1,88%"
"01/02/2013","9.373,18","9.721,80","9.803,97","9.368,40","","-3,50%"
"01/01/2013","9.713,31","9.710,33","9.931,86","9.555,51","","0,19%"
"01/12/2012","9.694,96","9.656,75","9.849,29","9.639,34","","0,48%"
"01/11/2012","9.648,79","9.603,56","9.757,39","9.569,97","","0,52%"
"01/10/2012","9.599,04","9.727,59","9.854,20","9.589,66","","-1,32%"
"01/09/2012","9.727,45","9.661,57","9.916,12","9.646,49","","0,71%"
"01/08/2012","9.658,46","9.413,93","9.690,04","9.385,54","","2,66%"
"01/07/2012","9.408,01","9.297,98","9.483,11","9.178,34","","1,93%"
"01/06/2012","9.229,94","9.104,12","9.312,67","8.965,15","","1,60%"
"01/05/2012","9.084,75","9.311,55","9.380,43","8.992,47","","-2,36%"
"01/04/2012","9.304,30","9.215,01","9.380,61","9.101,31","","1,61%"
"01/03/2012","9.157,31","9.102,85","9.304,15","9.085,47","","0,58%"
"01/02/2012","9.104,69","8.953,14","9.195,39","8.887,12","","1,69%"
"01/01/2012","8.953,14","8.871,05","9.089,34","8.759,49","","0,76%"
"01/12/2011","8.885,84","8.936,11","9.020,01","8.680,41","","-0,49%"
"01/11/2011","8.929,97","8.852,66","9.001,09","8.567,08","","0,88%"
"01/10/2011","8.851,77","8.373,07","8.963,60","8.354,45","","5,88%"
"01/09/2011","8.360,31","8.715,38","9.140,98","8.367,04","","-4,10%"
"01/08/2011","8.718,05","8.888,77","8.941,72","8.534,61","","-1,95%"
"01/07/2011","8.891,56","8.893,15","9.057,53","8.766,95","","-0,04%"
"01/06/2011","8.895,00","8.803,14","8.913,01","8.647,18","","1,02%"
"01/05/2011","8.804,95","9.055,63","9.066,75","8.728,67","","-2,86%"
"01/04/2011","9.064,25","8.973,30","9.126,25","8.920,60","","1,04%"
"01/03/2011","8.970,53","9.073,88","9.111,42","8.798,00","","-1,13%"
"01/02/2011","9.072,95","9.029,46","9.154,66","8.889,62","","0,44%"
"01/01/2011","9.033,06","9.049,34","9.221,58","8.954,21","","0,08%"
"01/12/2010","9.025,76","8.794,19","9.079,00","8.795,70","","2,65%"
"01/11/2010","8.792,48","8.764,10","8.925,37","8.716,69","","0,27%"
"01/10/2010","8.768,40","8.662,72","8.944,87","8.604,62","","1,19%"
"01/09/2010","8.665,24","8.478,87","8.801,72","8.465,17","","2,05%"
"01/08/2010","8.491,15","8.686,47","8.847,91","8.414,55","","-2,20%"
"01/07/2010","8.681,72","8.514,86","8.807,05","8.483,79","","2,01%"
"01/06/2010","8.510,64","8.790,27","8.969,74","8.506,65","","-3,08%"
