"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","2,241.65","2,246.42","2,287.95","2,230.87","","-0.24%"
"01/01/2025","2,246.97","2,204.75","2,250.96","2,200.07","","1.94%"
"12/01/2024","2,204.29","2,184.67","2,236.79","2,176.10","","0.80%"
"11/01/2024","2,186.82","2,206.14","2,222.41","2,170.29","","-0.78%"
"10/01/2024","2,204.12","2,162.15","2,236.94","2,161.07","","2.22%"
"09/01/2024","2,156.17","2,177.65","2,188.63","2,135.23","","-1.03%"
"08/01/2024","2,178.66","2,254.44","2,274.45","2,148.28","","-3.23%"
"07/01/2024","2,251.32","2,253.24","2,259.87","2,215.68","","-0.06%"
"06/01/2024","2,252.56","2,243.33","2,270.16","2,234.42","","0.42%"
"05/01/2024","2,243.16","2,244.14","2,248.35","2,203.74","","-0.06%"
"04/01/2024","2,244.51","2,194.48","2,249.49","2,188.39","","2.27%"
"03/01/2024","2,194.62","2,184.64","2,199.67","2,164.44","","0.44%"
"02/01/2024","2,185.10","2,198.13","2,200.65","2,161.29","","-0.71%"
"01/01/2024","2,200.69","2,165.96","2,210.99","2,160.10","","1.52%"
"12/01/2023","2,167.73","2,173.78","2,195.75","2,152.92","","-0.23%"
"11/01/2023","2,172.63","2,171.33","2,185.73","2,130.11","","0.11%"
"10/01/2023","2,170.23","2,121.82","2,182.16","2,121.82","","2.57%"
"09/01/2023","2,115.86","2,102.17","2,127.70","2,077.99","","0.89%"
"08/01/2023","2,097.25","2,106.36","2,122.79","2,088.32","","-0.63%"
"07/01/2023","2,110.46","2,073.06","2,115.59","2,070.41","","2.12%"
"06/01/2023","2,066.65","2,109.99","2,124.43","2,062.54","","-1.91%"
"05/01/2023","2,106.88","2,118.75","2,133.55","2,100.00","","-0.68%"
"04/01/2023","2,121.30","2,179.79","2,180.45","2,115.52","","-2.77%"
"03/01/2023","2,181.82","2,200.93","2,251.12","2,180.29","","-0.76%"
"02/01/2023","2,198.49","2,222.29","2,236.82","2,186.84","","-0.89%"
"01/01/2023","2,218.26","2,245.39","2,307.99","2,193.82","","-1.66%"
"12/01/2022","2,255.80","2,233.02","2,260.28","2,180.33","","1.78%"
"11/01/2022","2,216.43","2,129.92","2,225.20","2,123.36","","3.81%"
"10/01/2022","2,135.04","2,142.36","2,173.86","2,126.76","","-0.18%"
