"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","2.266,49","2.261,76","2.283,22","2.230,42","","0,18%"
"01/01/2025","2.262,41","2.234,50","2.288,00","2.216,19","","1,29%"
"01/12/2024","2.233,64","2.247,36","2.275,64","2.229,73","","-0,56%"
"01/11/2024","2.246,14","2.290,14","2.307,71","2.200,41","","-1,88%"
"01/10/2024","2.289,27","2.261,55","2.313,04","2.245,32","","1,27%"
"01/09/2024","2.260,64","2.289,56","2.311,68","2.251,86","","-1,19%"
"01/08/2024","2.287,97","2.358,98","2.388,16","2.284,89","","-2,97%"
"01/07/2024","2.357,95","2.355,20","2.375,98","2.345,99","","0,27%"
"01/06/2024","2.351,71","2.363,19","2.378,89","2.336,95","","-0,47%"
"01/05/2024","2.362,70","2.325,01","2.370,97","2.306,55","","1,66%"
"01/04/2024","2.324,17","2.294,27","2.340,40","2.252,85","","1,34%"
"01/03/2024","2.293,45","2.278,05","2.306,25","2.272,51","","0,71%"
"01/02/2024","2.277,17","2.290,08","2.300,94","2.236,98","","-0,52%"
"01/01/2024","2.289,02","2.279,72","2.313,99","2.260,90","","0,44%"
"01/12/2023","2.278,99","2.265,13","2.304,27","2.230,83","","0,66%"
"01/11/2023","2.264,10","2.250,48","2.290,90","2.226,25","","0,63%"
"01/10/2023","2.249,83","2.190,96","2.280,01","2.179,13","","2,71%"
"01/09/2023","2.190,46","2.215,93","2.225,14","2.183,16","","-1,10%"
"01/08/2023","2.214,93","2.225,29","2.254,97","2.206,23","","-0,42%"
"01/07/2023","2.224,27","2.197,38","2.269,65","2.185,72","","1,24%"
"01/06/2023","2.197,01","2.151,45","2.209,93","2.127,79","","2,17%"
"01/05/2023","2.150,45","2.172,21","2.186,15","2.140,75","","-0,79%"
"01/04/2023","2.167,49","2.183,30","2.208,54","2.157,44","","-0,64%"
"01/03/2023","2.181,47","2.166,80","2.252,38","2.164,66","","0,72%"
"01/02/2023","2.165,85","2.188,93","2.221,15","2.154,95","","-1,03%"
"01/01/2023","2.188,33","2.240,31","2.252,85","2.168,29","","-2,32%"
"01/12/2022","2.240,31","2.201,41","2.254,23","2.163,16","","1,79%"
"01/11/2022","2.200,89","2.070,34","2.219,29","2.052,08","","6,34%"
"01/10/2022","2.069,65","2.007,50","2.116,22","1.989,34","","3,11%"
"01/09/2022","2.007,30","2.006,56","2.034,96","1.932,09","","0,06%"
"01/08/2022","2.006,06","2.035,97","2.072,58","1.975,93","","-1,52%"
"01/07/2022","2.037,12","2.099,98","2.106,48","2.004,76","","-2,96%"
"01/06/2022","2.099,34","2.103,76","2.119,81","2.049,27","","-0,20%"
"01/05/2022","2.103,59","2.056,40","2.117,75","2.031,37","","2,41%"
"01/04/2022","2.054,16","2.137,90","2.139,61","2.037,74","","-3,89%"
"01/03/2022","2.137,40","2.166,97","2.167,63","2.092,68","","-1,34%"
