"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","16.861,8","16.927,0","16.994,0","16.824,0","","-0,14%"
"01/01/2025","16.884,9","16.664,0","17.071,7","16.533,8","","1,36%"
"01/12/2024","16.658,0","16.759,3","16.979,1","16.631,4","","-0,55%"
"01/11/2024","16.750,8","17.080,9","17.210,2","16.405,2","","-1,90%"
"01/10/2024","17.075,4","16.858,4","17.244,1","16.748,5","","1,33%"
"01/09/2024","16.851,3","17.073,1","17.243,5","16.793,5","","-1,27%"
"01/08/2024","17.067,6","17.597,7","17.810,9","17.034,2","","-3,00%"
"01/07/2024","17.596,0","17.569,6","17.726,2","17.496,4","","0,34%"
"01/06/2024","17.537,2","17.632,9","17.745,2","17.430,1","","-0,42%"
"01/05/2024","17.611,2","17.342,1","17.684,9","17.204,3","","1,60%"
"01/04/2024","17.334,3","17.104,4","17.456,7","16.806,0","","1,35%"
"01/03/2024","17.103,7","16.977,7","17.199,7","16.943,3","","0,78%"
"01/02/2024","16.971,5","17.064,5","17.152,6","16.675,4","","-0,53%"
"01/01/2024","17.062,2","17.004,4","17.254,0","16.861,6","","0,43%"
"01/12/2023","16.989,9","16.887,3","17.178,7","16.631,4","","0,67%"
"01/11/2023","16.877,2","16.796,8","17.089,0","16.603,4","","0,49%"
"01/10/2023","16.794,7","16.332,8","17.016,2","16.251,4","","2,84%"
"01/09/2023","16.330,7","16.509,3","16.584,9","16.276,6","","-1,06%"
"01/08/2023","16.505,4","16.580,5","16.803,0","16.444,8","","-0,43%"
"01/07/2023","16.576,5","16.357,6","16.911,9","16.280,0","","1,36%"
"01/06/2023","16.354,1","16.024,3","16.458,0","15.850,4","","2,11%"
"01/05/2023","16.016,0","16.189,1","16.289,3","15.941,1","","-0,90%"
"01/04/2023","16.160,8","16.264,5","16.460,9","16.081,3","","-0,53%"
"01/03/2023","16.247,7","16.128,4","16.772,9","16.110,8","","0,77%"
"01/02/2023","16.123,1","16.285,1","16.524,2","16.040,3","","-0,94%"
"01/01/2023","16.276,7","16.660,3","16.755,2","16.129,1","","-2,29%"
"01/12/2022","16.657,7","16.371,8","16.767,7","16.087,0","","1,78%"
"01/11/2022","16.367,1","15.412,7","16.504,7","15.271,9","","6,19%"
"01/10/2022","15.412,5","14.923,0","15.741,3","14.795,4","","3,31%"
"01/09/2022","14.919,0","14.924,1","15.133,6","14.386,4","","-0,04%"
"01/08/2022","14.924,6","15.155,8","15.421,5","14.695,3","","-1,51%"
"01/07/2022","15.153,3","15.614,1","15.668,0","14.919,8","","-2,94%"
"01/06/2022","15.612,9","15.651,3","15.769,2","15.243,7","","-0,23%"
"01/05/2022","15.648,7","15.294,3","15.756,1","15.113,0","","2,42%"
"01/04/2022","15.279,2","15.899,3","15.916,5","15.162,6","","-3,89%"
"01/03/2022","15.898,2","16.116,9","16.121,9","15.568,0","","-1,35%"
"01/02/2022","16.116,1","16.156,7","16.514,7","15.973,2","","-0,23%"
"01/01/2022","16.153,0","16.198,7","16.440,3","15.955,8","","-0,29%"
"01/12/2021","16.199,4","16.240,3","16.331,0","16.055,1","","-0,21%"
"01/11/2021","16.233,2","16.376,2","16.627,7","15.947,7","","-0,87%"
"01/10/2021","16.376,2","16.576,7","16.646,1","16.272,4","","-1,18%"
"01/09/2021","16.572,4","16.849,9","16.985,9","16.548,1","","-1,60%"
"01/08/2021","16.842,7","17.158,3","17.181,8","16.792,1","","-1,87%"
"01/07/2021","17.164,0","17.195,6","17.265,0","17.012,5","","-0,12%"
"01/06/2021","17.183,8","17.460,2","17.500,1","17.029,3","","-1,53%"
"01/05/2021","17.451,2","17.378,8","17.604,2","17.108,7","","0,56%"
"01/04/2021","17.354,0","17.038,6","17.626,9","17.024,0","","1,91%"
"01/03/2021","17.029,1","17.224,7","17.326,3","16.956,1","","-0,96%"
"01/02/2021","17.193,4","17.032,4","17.353,0","16.763,7","","1,05%"
"01/01/2021","17.014,7","17.184,6","17.297,0","16.914,4","","-0,77%"
"01/12/2020","17.147,1","16.842,3","17.421,3","16.839,5","","2,03%"
"01/11/2020","16.806,6","17.049,8","17.166,6","16.542,8","","-1,30%"
"01/10/2020","17.027,9","17.439,4","17.500,9","17.022,8","","-2,08%"
"01/09/2020","17.389,5","17.381,8","17.725,5","17.235,1","","0,06%"
"01/08/2020","17.378,8","17.203,2","17.764,3","17.077,5","","1,56%"
"01/07/2020","17.112,0","16.011,9","17.387,9","15.954,7","","7,45%"
"01/06/2020","15.925,6","16.212,0","16.308,8","15.610,7","","-1,54%"
"01/05/2020","16.175,3","16.297,1","16.569,1","15.989,8","","-0,40%"
"01/04/2020","16.240,8","17.991,6","18.179,7","16.109,9","","-9,66%"
"01/03/2020","17.977,3","15.786,6","18.201,2","15.659,9","","13,71%"
"01/02/2020","15.809,8","15.146,1","15.859,7","14.737,7","","4,41%"
"01/01/2020","15.142,0","15.565,8","15.622,6","14.956,2","","-2,68%"
"01/12/2019","15.559,5","15.535,3","15.708,7","15.459,3","","0,18%"
"01/11/2019","15.531,2","15.654,1","15.707,9","15.437,8","","-0,73%"
"01/10/2019","15.645,7","15.472,5","15.803,7","15.443,4","","1,17%"
"01/09/2019","15.464,3","15.587,2","15.686,0","15.286,2","","-0,76%"
"01/08/2019","15.582,4","15.524,5","16.137,8","15.465,0","","0,42%"
"01/07/2019","15.516,9","16.063,7","16.071,4","15.502,1","","-3,37%"
"01/06/2019","16.057,3","15.942,3","16.200,7","15.913,9","","0,64%"
"01/05/2019","15.955,3","15.983,5","16.257,4","15.864,4","","-0,12%"
"01/04/2019","15.974,3","15.974,4","16.017,9","15.701,8","","0,04%"
"01/03/2019","15.967,4","16.009,5","16.241,1","15.802,2","","-0,12%"
"01/02/2019","15.986,2","15.992,9","16.065,0","15.799,3","","-0,02%"
"01/01/2019","15.990,1","16.488,1","16.634,0","15.942,1","","-3,01%"
"01/12/2018","16.486,7","16.181,8","16.712,0","16.117,5","","1,89%"
"01/11/2018","16.180,5","17.196,3","17.284,7","16.166,8","","-5,88%"
"01/10/2018","17.191,2","17.296,9","17.678,5","17.180,3","","-0,61%"
"01/09/2018","17.295,9","17.080,9","17.596,7","17.063,2","","1,25%"
"01/08/2018","17.082,5","16.858,4","17.220,8","16.452,3","","1,36%"
"01/07/2018","16.852,6","16.695,2","17.032,3","16.621,3","","0,70%"
"01/06/2018","16.735,9","16.247,4","16.768,2","16.060,6","","3,07%"
"01/05/2018","16.237,4","16.802,8","16.823,2","16.100,4","","-3,34%"
"01/04/2018","16.799,1","16.962,6","17.114,4","16.743,7","","-0,91%"
"01/03/2018","16.953,7","16.761,3","17.158,9","16.709,4","","1,21%"
"01/02/2018","16.751,8","16.620,5","17.024,1","16.597,0","","0,75%"
"01/01/2018","16.626,7","16.283,7","16.729,5","15.989,6","","2,18%"
"01/12/2017","16.272,6","16.101,3","16.321,0","15.890,5","","1,10%"
"01/11/2017","16.096,3","15.794,9","16.170,2","15.612,8","","1,94%"
"01/10/2017","15.789,3","15.919,9","16.086,3","15.743,3","","-0,76%"
"01/09/2017","15.910,8","15.891,5","16.047,6","15.674,7","","0,15%"
"01/08/2017","15.887,7","15.779,5","16.102,7","15.583,7","","0,71%"
"01/07/2017","15.775,6","15.220,7","15.785,5","15.117,4","","3,64%"
"01/06/2017","15.221,2","14.979,2","15.255,3","14.774,2","","1,65%"
"01/05/2017","14.974,1","14.537,9","14.994,6","14.469,9","","3,13%"
"01/04/2017","14.519,8","14.205,7","14.592,6","14.042,5","","2,32%"
"01/03/2017","14.190,3","14.104,2","14.515,8","14.018,4","","0,66%"
"01/02/2017","14.097,5","14.416,8","14.460,1","14.024,2","","-2,16%"
"01/01/2017","14.409,4","14.187,9","14.436,8","13.933,5","","1,75%"
"01/12/2016","14.161,0","14.349,4","14.504,4","13.887,2","","-1,28%"
"01/11/2016","14.344,0","14.327,4","14.899,7","14.178,2","","0,14%"
"01/10/2016","14.324,3","14.664,1","14.675,8","14.110,9","","-2,30%"
"01/09/2016","14.662,2","14.803,9","14.906,2","14.468,1","","-0,92%"
"01/08/2016","14.798,4","14.640,2","15.012,0","14.500,4","","1,13%"
"01/07/2016","14.633,3","14.673,1","14.699,0","14.357,7","","-0,24%"
"01/06/2016","14.668,4","15.206,3","15.507,5","14.520,4","","-3,48%"
"01/05/2016","15.196,7","15.091,5","15.393,5","15.007,1","","0,66%"
"01/04/2016","15.096,4","15.090,5","15.117,3","14.787,1","","0,10%"
"01/03/2016","15.081,5","14.538,0","15.145,9","14.146,4","","3,79%"
"01/02/2016","14.531,3","14.922,5","15.426,0","14.518,7","","-2,60%"
"01/01/2016","14.918,4","14.973,9","15.309,2","14.839,5","","-0,35%"
"01/12/2015","14.970,5","14.620,8","15.560,0","14.557,1","","2,48%"
"01/11/2015","14.608,6","15.093,9","15.120,6","14.462,2","","-2,93%"
"01/10/2015","15.049,3","16.373,6","16.573,1","14.683,1","","-8,05%"
"01/09/2015","16.367,3","15.751,5","16.610,7","15.706,2","","3,95%"
"01/08/2015","15.745,8","14.839,0","16.451,1","14.650,2","","5,96%"
"01/07/2015","14.859,9","14.853,1","15.034,5","14.424,1","","0,11%"
"01/06/2015","14.843,0","14.528,5","15.216,9","14.394,7","","2,17%"
"01/05/2015","14.528,1","14.548,5","15.036,5","14.283,2","","-0,11%"
"01/04/2015","14.543,7","14.036,7","14.604,8","13.640,3","","3,71%"
"01/03/2015","14.024,1","14.460,5","14.579,6","13.798,0","","-3,02%"
"01/02/2015","14.461,4","14.294,6","14.705,9","14.235,5","","1,17%"
"01/01/2015","14.293,7","14.984,0","15.161,7","13.843,2","","-4,56%"
"01/12/2014","14.976,1","15.197,0","16.109,0","14.981,5","","-1,39%"
"01/11/2014","15.187,8","15.127,4","15.335,9","14.964,4","","0,39%"
"01/10/2014","15.129,0","15.391,5","15.753,8","15.088,7","","-1,66%"
"01/09/2014","15.384,6","15.357,7","15.560,2","15.109,4","","0,26%"
"01/08/2014","15.344,7","15.502,9","15.873,3","15.350,7","","-0,98%"
"01/07/2014","15.496,6","16.231,9","16.407,7","15.451,5","","-4,44%"
"01/06/2014","16.217,0","15.918,9","16.505,3","15.900,8","","1,95%"
"01/05/2014","15.906,2","16.032,3","16.190,7","15.541,3","","-0,75%"
"01/04/2014","16.026,3","15.642,2","16.131,7","15.437,7","","2,50%"
"01/03/2014","15.635,8","16.003,6","16.025,8","15.570,6","","-2,37%"
"01/02/2014","16.015,8","16.475,0","16.650,8","15.880,6","","-2,69%"
"01/01/2014","16.458,4","16.728,9","16.904,8","16.330,6","","-1,53%"
"01/12/2013","16.713,9","16.257,6","17.032,8","15.904,5","","2,88%"
"01/11/2013","16.245,7","15.312,0","16.363,2","15.144,7","","6,18%"
"01/10/2013","15.300,1","15.664,3","15.762,0","15.091,6","","-2,22%"
"01/09/2013","15.647,3","14.451,5","15.771,4","14.404,0","","8,47%"
"01/08/2013","14.425,2","13.671,6","14.669,3","13.560,3","","5,61%"
"01/07/2013","13.659,1","12.912,4","13.715,3","12.700,8","","5,85%"
