"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","20.243,3","20.272,6","20.712,3","20.077,2","","0,27%"
"01/01/2025","20.189,5","20.150,1","20.373,1","19.690,3","","0,29%"
"01/12/2024","20.130,2","20.196,8","20.636,2","20.059,4","","-0,22%"
"01/11/2024","20.175,4","20.245,0","20.532,6","19.821,5","","-0,30%"
"01/10/2024","20.237,0","20.249,0","20.599,7","20.091,0","","0,01%"
"01/09/2024","20.235,5","20.280,1","20.478,2","20.008,4","","-0,22%"
"01/08/2024","20.279,7","20.897,4","20.908,8","20.007,0","","-2,96%"
"01/07/2024","20.897,4","20.705,4","21.074,5","20.617,9","","0,98%"
"01/06/2024","20.694,9","20.690,3","20.958,0","20.584,8","","0,00%"
"01/05/2024","20.694,5","20.312,0","20.746,4","19.968,0","","1,92%"
"01/04/2024","20.304,1","20.026,5","20.434,2","19.683,4","","1,49%"
"01/03/2024","20.005,9","19.840,2","20.121,5","19.780,4","","0,88%"
"01/02/2024","19.830,7","20.020,9","20.110,8","19.523,0","","-0,90%"
"01/01/2024","20.010,6","19.601,9","20.185,5","19.506,9","","2,11%"
"01/12/2023","19.596,3","19.579,8","19.830,0","19.389,8","","0,13%"
"01/11/2023","19.570,4","19.307,4","19.715,5","19.116,3","","1,41%"
"01/10/2023","19.297,4","18.856,7","19.542,7","18.754,8","","2,40%"
"01/09/2023","18.844,4","19.302,5","19.375,4","18.778,0","","-2,33%"
"01/08/2023","19.294,6","19.361,2","19.617,4","19.165,8","","-0,28%"
"01/07/2023","19.348,8","19.021,0","19.683,9","19.016,5","","1,60%"
"01/06/2023","19.043,3","18.647,6","19.264,9","18.413,0","","2,18%"
"01/05/2023","18.636,8","18.435,1","18.672,0","18.284,3","","1,17%"
"01/04/2023","18.420,7","18.487,5","18.689,9","18.203,0","","-0,36%"
"01/03/2023","18.487,2","18.332,8","18.942,6","18.145,2","","0,89%"
"01/02/2023","18.324,5","18.466,2","18.600,7","17.915,7","","-0,74%"
"01/01/2023","18.461,5","18.832,8","19.010,3","18.255,1","","-1,95%"
"01/12/2022","18.829,0","18.965,9","19.485,9","18.686,5","","-0,71%"
"01/11/2022","18.964,1","17.891,1","19.054,9","17.500,0","","6,03%"
"01/10/2022","17.885,9","16.994,7","18.148,9","16.796,5","","5,27%"
"01/09/2022","16.991,1","17.251,4","17.435,7","15.614,9","","-1,48%"
"01/08/2022","17.247,1","18.043,7","18.332,0","17.214,3","","-4,41%"
"01/07/2022","18.042,2","18.141,4","18.295,9","17.629,7","","-0,51%"
"01/06/2022","18.134,7","18.377,9","18.398,3","17.539,3","","-1,29%"
"01/05/2022","18.370,8","18.247,4","18.535,7","17.757,3","","0,82%"
"01/04/2022","18.221,7","18.877,3","18.900,3","17.990,8","","-3,44%"
"01/03/2022","18.870,9","19.281,9","19.306,0","18.617,8","","-2,10%"
"01/02/2022","19.276,4","19.339,5","19.595,8","19.087,7","","-0,30%"
"01/01/2022","19.333,9","19.285,1","19.668,7","19.160,0","","0,29%"
"01/12/2021","19.278,8","19.047,5","19.313,6","18.878,1","","1,26%"
"01/11/2021","19.038,4","19.384,7","19.618,6","18.897,8","","-1,83%"
"01/10/2021","19.393,3","19.281,8","19.580,7","19.221,9","","0,60%"
"01/09/2021","19.278,4","19.622,1","19.824,0","19.168,4","","-1,74%"
"01/08/2021","19.620,1","20.104,3","20.127,9","19.606,4","","-2,39%"
"01/07/2021","20.100,8","20.052,1","20.250,9","19.702,4","","0,29%"
"01/06/2021","20.042,2","20.296,2","20.348,3","19.825,3","","-1,19%"
"01/05/2021","20.283,3","19.973,1","20.433,6","19.805,5","","1,68%"
"01/04/2021","19.947,4","20.017,6","20.360,0","19.892,2","","-0,30%"
"01/03/2021","20.007,1","19.877,0","20.179,0","19.704,0","","0,85%"
"01/02/2021","19.839,2","19.239,3","20.063,5","19.020,2","","3,30%"
"01/01/2021","19.206,0","19.209,9","19.351,2","18.810,4","","0,05%"
"01/12/2020","19.196,9","18.814,2","19.341,1","18.493,4","","2,28%"
"01/11/2020","18.769,3","18.933,5","19.165,4","18.444,8","","-0,80%"
"01/10/2020","18.919,7","19.222,0","19.302,0","18.837,7","","-1,31%"
"01/09/2020","19.170,3","19.465,0","19.829,9","18.759,3","","-1,52%"
"01/08/2020","19.465,3","19.117,3","19.692,6","18.948,3","","2,40%"
"01/07/2020","19.009,6","17.677,6","19.229,7","17.642,0","","8,12%"
"01/06/2020","17.581,8","18.027,3","18.324,8","17.391,5","","-2,28%"
"01/05/2020","17.991,4","18.741,0","18.891,3","17.888,1","","-3,62%"
"01/04/2020","18.667,6","20.271,7","20.586,6","18.503,8","","-7,77%"
"01/03/2020","20.241,3","18.364,8","20.370,5","17.440,8","","10,10%"
"01/02/2020","18.383,9","18.047,1","18.537,7","17.597,7","","2,04%"
"01/01/2020","18.016,6","18.409,6","18.439,0","17.669,8","","-2,16%"
"01/12/2019","18.414,6","18.220,1","18.956,9","18.023,7","","0,98%"
"01/11/2019","18.235,5","18.163,9","18.282,2","17.893,8","","0,43%"
"01/10/2019","18.157,4","17.444,9","18.378,3","17.261,3","","4,12%"
"01/09/2019","17.439,5","17.234,1","17.699,7","17.010,3","","1,17%"
"01/08/2019","17.237,2","17.037,0","17.547,9","16.962,7","","1,19%"
"01/07/2019","17.034,4","17.934,9","17.949,0","17.000,6","","-4,99%"
"01/06/2019","17.928,9","18.025,0","18.220,6","17.858,4","","-0,55%"
"01/05/2019","18.027,3","18.572,0","18.823,6","17.927,3","","-2,88%"
"01/04/2019","18.562,7","18.565,4","18.766,8","18.165,6","","0,07%"
"01/03/2019","18.549,6","18.653,0","19.093,0","18.388,4","","-0,51%"
"01/02/2019","18.645,0","18.317,3","18.735,2","17.959,6","","1,83%"
"01/01/2019","18.310,5","18.351,0","18.617,6","17.847,4","","-0,15%"
"01/12/2018","18.338,2","18.262,2","18.603,8","18.082,7","","0,54%"
"01/11/2018","18.239,7","19.407,5","19.721,0","18.213,5","","-6,00%"
"01/10/2018","19.404,3","19.418,9","20.221,0","19.325,7","","-0,04%"
"01/09/2018","19.411,7","19.107,0","19.742,4","18.991,4","","1,71%"
"01/08/2018","19.085,1","18.929,9","19.193,2","18.415,8","","0,88%"
"01/07/2018","18.918,3","18.889,1","19.151,6","18.750,4","","0,00%"
"01/06/2018","18.919,0","18.481,0","18.937,1","18.314,5","","2,43%"
"01/05/2018","18.470,9","19.145,0","19.175,6","18.448,4","","-3,56%"
"01/04/2018","19.152,7","19.315,7","19.791,6","19.076,8","","-0,68%"
"01/03/2018","19.284,6","18.913,8","19.573,3","18.849,9","","2,01%"
"01/02/2018","18.904,9","19.001,6","19.221,0","18.750,6","","-0,48%"
"01/01/2018","18.996,2","18.335,8","19.063,7","18.031,7","","3,64%"
"01/12/2017","18.329,0","18.293,9","18.377,2","18.050,4","","0,21%"
"01/11/2017","18.291,2","18.013,7","18.327,1","17.585,6","","1,56%"
"01/10/2017","18.010,4","18.037,0","18.105,9","17.590,3","","-0,19%"
"01/09/2017","18.044,4","17.254,5","18.186,5","17.216,7","","4,61%"
"01/08/2017","17.249,9","17.609,7","17.678,9","17.050,0","","-2,02%"
"01/07/2017","17.606,3","17.345,7","17.622,3","17.125,0","","1,44%"
"01/06/2017","17.355,8","17.173,4","17.368,4","16.746,2","","1,09%"
"01/05/2017","17.168,1","17.264,4","17.427,6","16.982,4","","-0,49%"
"01/04/2017","17.253,1","16.711,5","17.284,4","16.460,4","","3,16%"
"01/03/2017","16.724,4","16.511,3","16.793,2","16.193,8","","1,34%"
"01/02/2017","16.503,8","16.799,5","16.971,4","16.455,4","","-1,68%"
"01/01/2017","16.786,5","16.631,8","16.903,4","15.974,5","","1,02%"
"01/12/2016","16.616,6","16.946,7","17.230,2","16.397,8","","-1,93%"
"01/11/2016","16.942,9","15.973,4","17.030,2","15.913,9","","6,08%"
"01/10/2016","15.972,1","16.894,5","16.899,7","15.350,6","","-5,65%"
