"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","2.102,02","2.098,73","2.144,54","2.089,04","","0,53%"
"01/01/2025","2.091,03","2.071,90","2.105,48","2.070,44","","0,96%"
"01/12/2024","2.071,18","2.036,28","2.100,32","2.034,44","","1,76%"
"01/11/2024","2.035,41","2.019,12","2.050,31","2.009,62","","0,84%"
"01/10/2024","2.018,42","1.947,83","2.030,29","1.947,41","","3,66%"
"01/09/2024","1.947,17","1.982,02","1.998,81","1.934,10","","-1,73%"
"01/08/2024","1.981,43","2.080,48","2.083,10","1.961,64","","-4,76%"
"01/07/2024","2.080,53","2.097,19","2.103,18","2.061,76","","-0,76%"
"01/06/2024","2.096,49","2.078,31","2.112,27","2.070,82","","0,91%"
"01/05/2024","2.077,63","2.078,31","2.082,46","2.038,61","","0,00%"
"01/04/2024","2.077,58","2.026,03","2.081,31","2.021,36","","2,58%"
"01/03/2024","2.025,40","2.007,20","2.031,34","1.988,40","","0,94%"
"01/02/2024","2.006,62","2.018,38","2.021,28","1.988,28","","-0,55%"
"01/01/2024","2.017,70","1.971,79","2.027,25","1.969,83","","2,34%"
"01/12/2023","1.971,52","1.985,88","2.006,79","1.968,60","","-0,68%"
"01/11/2023","1.985,05","2.030,21","2.039,15","1.969,05","","-2,19%"
"01/10/2023","2.029,50","1.973,62","2.040,61","1.973,31","","2,87%"
"01/09/2023","1.972,93","1.942,17","1.987,46","1.940,34","","1,62%"
"01/08/2023","1.941,47","1.933,80","1.964,24","1.926,03","","0,44%"
"01/07/2023","1.933,01","1.913,09","1.944,37","1.908,30","","1,06%"
"01/06/2023","1.912,72","1.914,52","1.924,87","1.890,06","","-0,05%"
"01/05/2023","1.913,77","1.868,84","1.917,55","1.855,64","","2,44%"
"01/04/2023","1.868,18","1.910,20","1.912,45","1.863,41","","-2,17%"
"01/03/2023","1.909,53","1.942,83","1.972,11","1.904,52","","-1,68%"
"01/02/2023","1.942,14","1.911,83","1.951,37","1.893,63","","1,62%"
"01/01/2023","1.911,13","1.993,37","2.003,89","1.900,49","","-4,11%"
"01/12/2022","1.993,01","2.014,33","2.022,84","1.975,90","","-1,05%"
"01/11/2022","2.014,08","1.987,13","2.018,04","1.964,64","","1,37%"
"01/10/2022","1.986,78","1.939,93","1.993,99","1.930,83","","2,44%"
"01/09/2022","1.939,49","1.890,99","1.946,53","1.887,45","","2,59%"
"01/08/2022","1.890,61","1.889,53","1.909,96","1.870,50","","0,08%"
"01/07/2022","1.889,12","1.898,67","1.916,40","1.889,18","","-0,48%"
"01/06/2022","1.898,32","1.858,14","1.899,01","1.838,16","","2,17%"
"01/05/2022","1.857,96","1.847,58","1.877,96","1.846,45","","0,58%"
"01/04/2022","1.847,25","1.834,50","1.848,38","1.826,76","","0,70%"
"01/03/2022","1.834,45","1.838,61","1.845,03","1.822,95","","-0,21%"
"01/02/2022","1.838,32","1.844,45","1.849,37","1.826,20","","-0,32%"
"01/01/2022","1.844,13","1.828,19","1.848,79","1.826,31","","0,89%"
"01/12/2021","1.827,84","1.836,84","1.853,16","1.818,21","","-0,47%"
