"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","11,2685","11,2170","11,4903","11,1159","","0,88%"
"01/01/2025","11,1700","10,8880","11,4275","10,8880","","2,72%"
"01/12/2024","10,8740","11,3505","11,3905","10,8770","","-4,11%"
"01/11/2024","11,3400","11,4250","11,5050","11,1600","","-0,61%"
"01/10/2024","11,4100","11,4900","11,6850","11,2000","","-0,44%"
"01/09/2024","11,4600","11,5550","11,7000","11,2800","","-0,69%"
"01/08/2024","11,5400","11,8750","11,9600","11,4750","","-2,78%"
"01/07/2024","11,8700","11,8550","11,9150","11,6300","","0,17%"
"01/06/2024","11,8500","11,7500","11,9500","11,7100","","1,02%"
"01/05/2024","11,7300","11,7300","11,9400","11,6450","","0,09%"
"01/04/2024","11,7200","11,7750","11,8650","11,3200","","-0,34%"
"01/03/2024","11,7600","11,7650","11,9300","11,6800","","0,09%"
"01/02/2024","11,7500","11,8250","11,9000","11,6050","","-0,42%"
"01/01/2024","11,8000","11,8900","11,9250","11,5800","","-0,67%"
"01/12/2023","11,8800","11,9250","12,1200","11,7000","","-0,25%"
"01/11/2023","11,9100","11,7450","12,0750","11,6950","","1,53%"
"01/10/2023","11,7300","11,4250","11,8750","11,4000","","2,80%"
"01/09/2023","11,4100","11,4900","11,6450","11,3900","","-0,61%"
"01/08/2023","11,4800","11,7950","11,8300","11,3550","","-2,63%"
"01/07/2023","11,7900","11,3850","11,9400","11,3850","","3,60%"
"01/06/2023","11,3800","11,3350","11,7850","11,3150","","0,35%"
"01/05/2023","11,3400","10,9600","11,3900","10,9150","","3,47%"
"01/04/2023","10,9600","11,4750","11,4850","10,9100","","-4,45%"
"01/03/2023","11,4700","11,5250","12,0300","11,4600","","-0,43%"
"01/02/2023","11,5200","12,1500","12,3150","11,4850","","-5,11%"
"01/01/2023","12,1400","12,3350","12,6100","12,0250","","-1,46%"
"01/12/2022","12,3200","12,0850","12,4450","11,7750","","1,99%"
"01/11/2022","12,0800","10,9300","12,0950","10,9100","","10,62%"
"01/10/2022","10,9200","10,5750","11,0400","10,5300","","3,31%"
"01/09/2022","10,5700","11,0650","11,0650","10,5150","","-4,43%"
"01/08/2022","11,0600","11,3850","11,5050","10,9650","","-2,81%"
"01/07/2022","11,3800","11,5650","11,5900","11,2650","","-1,56%"
"01/06/2022","11,5600","11,7350","11,7550","11,2950","","-1,45%"
"01/05/2022","11,7300","11,4650","11,8200","11,2900","","2,27%"
"01/04/2022","11,4700","11,8250","11,8550","11,3450","","-2,88%"
"01/03/2022","11,8100","11,9650","11,9750","11,4900","","-1,17%"
"01/02/2022","11,9500","11,9350","12,0700","11,8700","","0,17%"
"01/01/2022","11,9300","11,9850","12,1000","11,7950","","-0,42%"
"01/12/2021","11,9800","12,1100","12,2550","11,9400","","-1,07%"
"01/11/2021","12,1100","12,0650","12,1500","11,9500","","0,41%"
"01/10/2021","12,0600","12,0850","12,1750","11,8350","","-0,08%"
"01/09/2021","12,0700","12,3100","12,3750","11,9600","","-1,95%"
"01/08/2021","12,3100","12,5600","12,6000","12,1800","","-1,91%"
"01/07/2021","12,5500","12,8250","12,8800","12,4900","","-2,11%"
"01/06/2021","12,8200","12,8900","12,9300","12,5200","","-0,39%"
"01/05/2021","12,8700","12,9250","12,9550","12,5000","","-0,31%"
"01/04/2021","12,9100","12,8750","13,1300","12,8250","","0,39%"
"01/03/2021","12,8600","12,6800","12,9350","12,5400","","1,66%"
"01/02/2021","12,6500","12,5400","12,7600","12,4500","","0,96%"
"01/01/2021","12,5300","12,9450","12,9650","12,5200","","-3,02%"
"01/12/2020","12,9200","12,7250","13,0650","12,6950","","1,81%"
"01/11/2020","12,6900","12,8650","12,9750","12,5400","","-1,32%"
"01/10/2020","12,8600","12,7750","13,0350","12,5800","","1,02%"
"01/09/2020","12,7300","12,2550","12,7900","12,2500","","3,92%"
"01/08/2020","12,2500","12,2250","12,5850","12,1750","","0,74%"
"01/07/2020","12,1600","11,8850","12,3700","11,8350","","2,88%"
"01/06/2020","11,8200","11,8600","11,9800","11,4400","","-0,08%"
"01/05/2020","11,8300","12,2500","12,4200","11,7850","","-3,03%"
"01/04/2020","12,2000","13,3850","13,5200","12,2350","","-8,75%"
"01/03/2020","13,3700","11,9550","13,4900","11,8350","","11,88%"
"01/02/2020","11,9500","11,4150","11,9600","11,2950","","4,82%"
"01/01/2020","11,4000","12,0200","12,0350","11,3900","","-5,08%"
"01/12/2019","12,0100","11,9400","12,0850","11,7200","","0,76%"
"01/11/2019","11,9200","11,9950","12,1450","11,9250","","-0,50%"
"01/10/2019","11,9800","11,8350","12,0850","11,7500","","1,35%"
"01/09/2019","11,8200","11,7250","11,8900","11,6750","","1,03%"
