"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,00010","0,00010","0,00010","0,00010","","-99,99%"
"01/01/2025","0,98710","1,00405","1,00645","0,97170","","-1,63%"
"01/12/2024","1,00350","0,96845","1,00555","0,96430","","3,61%"
"01/11/2024","0,96850","0,96790","0,97940","0,95005","","0,08%"
"01/10/2024","0,96770","0,95565","0,97435","0,93590","","1,32%"
"01/09/2024","0,95510","0,95535","0,98065","0,94670","","1.005.271,62%"
"01/08/2024","0,00009","0,00009","0,00010","0,00009","","0,00%"
"01/07/2024","0,00009","0,00009","0,00009","0,00009","","0,00%"
"01/06/2024","0,00009","0,00009","0,00009","0,00009","","0,00%"
"01/05/2024","0,00009","0,00009","0,00010","0,00009","","0,00%"
"01/04/2024","0,00009","0,00010","0,00010","0,00009","","0,00%"
"01/03/2024","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/02/2024","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/01/2024","0,00010","0,00009","0,00010","0,00009","","0,00%"
"01/12/2023","0,00009","0,00010","0,00010","0,00009","","0,00%"
"01/11/2023","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/10/2023","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/09/2023","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/08/2023","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/07/2023","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/06/2023","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/05/2023","0,00010","0,00010","0,00020","0,00010","","0,00%"
"01/04/2023","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/03/2023","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/02/2023","0,00010","0,00009","0,00010","0,00009","","0,00%"
"01/01/2023","0,00010","0,00009","0,00010","0,00009","","0,00%"
"01/12/2022","0,00009","0,00009","0,00010","0,00002","","0,00%"
"01/11/2022","0,00009","0,00010","0,00010","0,00002","","-5,49%"
"01/10/2022","0,00010","0,00010","0,00101","0,00002","","0,00%"
"01/09/2022","0,00010","0,00010","0,00010","0,00009","","0,00%"
"01/08/2022","0,00010","0,00010","0,00019","0,00009","","5,43%"
"01/07/2022","0,00009","0,00010","0,00010","0,00009","","0,00%"
"01/06/2022","0,00010","0,00019","0,00019","0,00009","","-49,18%"
"01/05/2022","0,00019","0,00010","0,00019","0,00009","","96,85%"
"01/04/2022","0,00010","0,00009","0,00010","0,00009","","0,00%"
"01/03/2022","0,00009","0,00010","0,00010","0,00009","","-6,03%"
"01/02/2022","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/01/2022","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/12/2021","0,00010","0,00010","0,00010","0,00010","","0,00%"
"01/11/2021","0,00010","0,00009","0,00010","0,00009","","0,00%"
"01/10/2021","0,00009","0,00010","0,00010","0,00009","","0,00%"
"01/09/2021","0,00010","0,00010","0,00010","0,00009","","0,00%"
"01/08/2021","0,00010","0,00009","0,00010","0,00009","","0,00%"
"01/07/2021","0,00009","0,00009","0,00009","0,00009","","0,00%"
"01/06/2021","0,00009","0,00009","0,00010","0,00009","","0,00%"
"01/05/2021","0,00009","0,00009","0,00011","0,00009","","0,00%"
"01/04/2021","0,00009","0,00009","0,00009","0,00009","","0,00%"
"01/03/2021","0,00009","0,00009","0,00016","0,00009","","0,00%"
"01/02/2021","0,00009","0,00009","0,00009","0,00008","","0,00%"
"01/01/2021","0,00009","0,00009","0,00018","0,00009","","0,00%"
"01/12/2020","0,00009","0,00010","0,00010","0,00009","","-6,20%"
"01/11/2020","0,00010","0,00010","0,00010","0,00010","","0,00%"
