"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,0001","0,0001","0,0001","0,0001","","-99,99%"
"01/01/2025","0,8907","0,8936","0,8976","0,8717","","-0,27%"
"01/12/2024","0,8931","0,8840","0,8992","0,8788","","1,10%"
"01/11/2024","0,8834","0,8876","0,8934","0,8747","","-0,45%"
"01/10/2024","0,8874","0,8933","0,8949","0,8650","","-0,62%"
"01/09/2024","0,8929","0,8727","0,9003","0,8666","","2,31%"
"01/08/2024","0,8727","0,8488","0,8834","0,8483","","2,80%"
"01/07/2024","0,8489","0,8353","0,8524","0,8314","","1,68%"
"01/06/2024","0,8349","0,8386","0,8503","0,8291","","-0,39%"
"01/05/2024","0,8382","0,8472","0,8594","0,8380","","-1,03%"
"01/04/2024","0,8469","0,8543","0,8715","0,8390","","-0,77%"
"01/03/2024","0,8535","0,8640","0,8692","0,8529","","-1,16%"
"01/02/2024","0,8635","0,8514","0,8716","0,8479","","1,47%"
"01/01/2024","0,8510","0,8604","0,8661","0,8464","","-1,06%"
"01/12/2023","0,8601","0,8744","0,8778","0,8520","","-1,57%"
"01/11/2023","0,8738","0,8734","0,8919","0,8662","","0,08%"
"01/10/2023","0,8731","0,8781","0,8837","0,8576","","-0,57%"
"01/09/2023","0,8781","0,8869","0,8974","0,8679","","-0,95%"
"01/08/2023","0,8865","0,8746","0,8937","0,8737","","1,40%"
"01/07/2023","0,8743","0,8832","0,8890","0,8716","","-0,94%"
"01/06/2023","0,8826","0,9054","0,9063","0,8738","","-2,49%"
"01/05/2023","0,9051","0,9233","0,9340","0,9014","","-1,97%"
"01/04/2023","0,9233","0,9014","0,9317","0,8958","","2,48%"
"01/03/2023","0,9010","0,8945","0,9109","0,8852","","0,74%"
"01/02/2023","0,8944","0,8875","0,9015","0,8755","","0,81%"
"01/01/2023","0,8872","0,8704","0,9010","0,8579","","1,97%"
"01/12/2022","0,8701","0,8525","0,8796","0,8519","","2,10%"
"01/11/2022","0,8522","0,8734","0,8798","0,8474","","-2,40%"
"01/10/2022","0,8732","0,9073","0,9099","0,8668","","-3,81%"
"01/09/2022","0,9078","0,8848","0,9129","0,8721","","2,67%"
"01/08/2022","0,8842","0,8639","0,8854","0,8572","","2,54%"
"01/07/2022","0,8623","0,8640","0,8820","0,8532","","-0,17%"
"01/06/2022","0,8638","0,8673","0,8828","0,8616","","-0,37%"
"01/05/2022","0,8670","0,8856","0,8967","0,8660","","-2,21%"
"01/04/2022","0,8866","0,8700","0,8913","0,8644","","1,94%"
"01/03/2022","0,8697","0,8824","0,8996","0,8665","","-1,41%"
"01/02/2022","0,8821","0,8835","0,8954","0,8791","","-0,12%"
"01/01/2022","0,8832","0,8864","0,8959","0,8668","","-0,34%"
"01/12/2021","0,8862","0,8921","0,9070","0,8780","","-0,63%"
"01/11/2021","0,8918","0,8748","0,8963","0,8633","","2,02%"
"01/10/2021","0,8741","0,8858","0,8899","0,8680","","-1,30%"
"01/09/2021","0,8856","0,8846","0,9054","0,8757","","0,19%"
"01/08/2021","0,8839","0,8628","0,8960","0,8618","","2,54%"
"01/07/2021","0,8620","0,8551","0,8823","0,8468","","0,89%"
"01/06/2021","0,8544","0,8447","0,8682","0,8406","","1,20%"
"01/05/2021","0,8443","0,8507","0,8595","0,8377","","-0,72%"
"01/04/2021","0,8504","0,8648","0,8717","0,8452","","-1,60%"
"01/03/2021","0,8642","0,8921","0,8934","0,8577","","-3,12%"
"01/02/2021","0,8920","0,9107","0,9178","0,8827","","-1,98%"
"01/01/2021","0,9100","0,9063","0,9211","0,8972","","0,51%"
"01/12/2020","0,9054","0,9208","0,9212","0,8975","","-1,45%"
"01/11/2020","0,9187","0,9104","0,9336","0,8977","","0,93%"
"01/10/2020","0,9102","0,8952","0,9155","0,8888","","1,99%"
"01/09/2020","0,8924","0,8955","0,9064","0,8793","","-0,36%"
"01/08/2020","0,8956","0,9179","0,9215","0,8849","","-2,05%"
"01/07/2020","0,9143","0,9524","0,9538","0,9107","","-3,46%"
"01/06/2020","0,9471","0,9433","0,9760","0,9257","","0,74%"
"01/05/2020","0,9401","0,9376","0,9551","0,9241","","0,65%"
"01/04/2020","0,9340","0,8619","0,9384","0,8501","","8,43%"
"01/03/2020","0,8614","0,9348","0,9628","0,8547","","-7,68%"
"01/02/2020","0,9331","0,9694","0,9772","0,9333","","-3,68%"
"01/01/2020","0,9688","0,9355","0,9706","0,9290","","3,61%"
"01/12/2019","0,9350","0,9414","0,9468","0,9327","","-0,62%"
"01/11/2019","0,9408","0,9377","0,9463","0,9346","","0,39%"
"01/10/2019","0,9371","0,9327","0,9441","0,9273","","0,51%"
"01/09/2019","0,9323","0,9385","0,9516","0,9317","","-0,60%"
"01/08/2019","0,9379","0,9411","0,9431","0,9184","","-0,28%"
"01/07/2019","0,9405","0,9267","0,9427","0,9218","","1,53%"
"01/06/2019","0,9263","0,9471","0,9477","0,9242","","-2,09%"
"01/05/2019","0,9461","0,9392","0,9505","0,9194","","0,78%"
"01/04/2019","0,9388","0,9377","0,9593","0,9343","","0,22%"
"01/03/2019","0,9367","0,9365","0,9527","0,9297","","0,11%"
