"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,00006","0,00006","0,00006","0,00006","","-99,99%"
"01/01/2025","0,55850","0,56370","0,56775","0,55315","","-0,87%"
"01/12/2024","0,56340","0,55580","0,56420","0,54940","","1,39%"
"01/11/2024","0,55570","0,55005","0,56425","0,54680","","1,04%"
"01/10/2024","0,55000","0,55845","0,56075","0,54355","","-1,47%"
"01/09/2024","0,55820","0,54990","0,56355","0,54505","","1.014.744,51%"
"01/08/2024","0,00006","0,00005","0,00006","0,00005","","0,00%"
"01/07/2024","0,00005","0,00006","0,00006","0,00005","","0,00%"
"01/06/2024","0,00006","0,00006","0,00006","0,00005","","0,00%"
"01/05/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/04/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/03/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/02/2024","0,00006","0,00005","0,00006","0,00005","","0,00%"
"01/01/2024","0,00005","0,00005","0,00006","0,00005","","0,00%"
"01/12/2023","0,00005","0,00006","0,00007","0,00005","","0,00%"
"01/11/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/10/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/09/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/08/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/07/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/06/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/05/2023","0,00006","0,00006","0,00012","0,00006","","0,00%"
"01/04/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/03/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/02/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/01/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/12/2022","0,00006","0,00006","0,00045","0,00001","","0,00%"
"01/11/2022","0,00006","0,00006","0,00006","0,00001","","0,00%"
"01/10/2022","0,00006","0,00006","0,00953","0,00001","","0,00%"
"01/09/2022","0,00006","0,00007","0,00007","0,00006","","0,00%"
"01/08/2022","0,00006","0,00006","0,00013","0,00006","","0,00%"
"01/07/2022","0,00006","0,00006","0,00007","0,00006","","0,00%"
"01/06/2022","0,00006","0,00013","0,00013","0,00006","","-50,96%"
"01/05/2022","0,00013","0,00007","0,00013","0,00007","","96,50%"
"01/04/2022","0,00007","0,00006","0,00007","0,00006","","0,00%"
"01/03/2022","0,00006","0,00006","0,00007","0,00006","","0,00%"
"01/02/2022","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/01/2022","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/12/2021","0,00006","0,00007","0,00007","0,00006","","0,00%"
"01/11/2021","0,00007","0,00006","0,00007","0,00006","","0,00%"
"01/10/2021","0,00006","0,00007","0,00007","0,00006","","0,00%"
"01/09/2021","0,00006","0,00006","0,00007","0,00006","","0,00%"
"01/08/2021","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/07/2021","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/06/2021","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/05/2021","0,00006","0,00006","0,00008","0,00006","","0,00%"
"01/04/2021","0,00006","0,00006","0,00007","0,00006","","0,00%"
"01/03/2021","0,00006","0,00006","0,00012","0,00006","","0,00%"
"01/02/2021","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/01/2021","0,00006","0,00006","0,00013","0,00006","","0,00%"
"01/12/2020","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/11/2020","0,00006","0,00006","0,00007","0,00006","","0,00%"
"01/10/2020","0,00006","0,00619","0,00624","0,00006","","-98,99%"
"01/09/2020","0,00619","0,00622","0,00625","0,00609","","-0,37%"
"01/08/2020","0,00622","0,00625","0,00632","0,00608","","-0,38%"
"01/07/2020","0,00624","0,00663","0,06267","0,00622","","-5,79%"
"01/06/2020","0,00663","0,00668","0,00680","0,00662","","-0,81%"
"01/05/2020","0,00668","0,00668","0,00668","0,00668","","0,00%"
"01/04/2020","0,00668","0,00668","0,00668","0,00668","","0,00%"
"01/03/2020","0,00668","0,00690","0,06701","0,00668","","-3,28%"
"01/02/2020","0,00691","0,00707","0,00721","0,00671","","-2,25%"
"01/01/2020","0,00707","0,00698","0,00734","0,00694","","1,27%"
"01/12/2019","0,00698","0,00711","0,00714","0,00695","","-1,70%"
"01/11/2019","0,00710","0,00703","0,00713","0,00701","","0,89%"
"01/10/2019","0,00703","0,00701","0,00711","0,00696","","0,30%"
"01/09/2019","0,00701","0,00695","0,00712","0,00693","","1,03%"
"01/08/2019","0,00694","0,00705","0,00706","0,00675","","-1,57%"
"01/07/2019","0,00705","0,00693","0,00711","0,00642","","1,73%"
"01/06/2019","0,00693","0,00703","0,00703","0,00629","","-0,52%"
"01/05/2019","0,00697","0,00715","0,00718","0,00692","","-2,58%"
"01/04/2019","0,00715","0,00699","0,00726","0,00656","","2,27%"
"01/03/2019","0,00700","0,00709","0,00716","0,00697","","-1,29%"
"01/02/2019","0,00709","0,00709","0,00721","0,00706","","0,00%"
"01/01/2019","0,00709","0,00684","0,00796","0,00678","","3,69%"
"01/12/2018","0,00684","0,00698","0,00703","0,00672","","-1,63%"
"01/11/2018","0,00695","0,00663","0,00698","0,00661","","4,78%"
"01/10/2018","0,00663","0,00658","0,00664","0,00648","","0,76%"
"01/09/2018","0,00658","0,00654","0,00665","0,00643","","0,61%"
"01/08/2018","0,00654","0,00686","0,00691","0,00654","","-4,69%"
"01/07/2018","0,00687","0,00692","0,00701","0,00681","","-0,79%"
"01/06/2018","0,00692","0,00709","0,00718","0,00691","","-2,40%"
"01/05/2018","0,00709","0,00712","0,00717","0,00695","","-0,42%"
"01/04/2018","0,00712","0,00692","0,00712","0,00640","","2,74%"
"01/03/2018","0,00693","0,00686","0,00695","0,00669","","1,02%"
"01/02/2018","0,00686","0,00696","0,00696","0,00679","","-1,44%"
"01/01/2018","0,00696","0,00719","0,00735","0,00694","","-3,20%"
"01/12/2017","0,00719","0,00731","0,00736","0,00719","","-1,64%"
"01/11/2017","0,00731","0,00736","0,00741","0,00725","","-0,75%"
"01/10/2017","0,00736","0,00718","0,01321","0,00719","","2,58%"
"01/09/2017","0,00718","0,00722","0,01448","0,00659","","-0,55%"
