"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,00045","0,00044","0,00045","0,00043","","-99,00%"
"01/01/2025","0,04447","0,04536","0,04545","0,04443","","-1,92%"
"01/12/2024","0,04534","0,04578","0,04596","0,04470","","-0,77%"
"01/11/2024","0,04569","0,04533","0,04608","0,04500","","0,77%"
"01/10/2024","0,04534","0,04625","0,04628","0,04470","","-2,16%"
"01/09/2024","0,04634","0,04593","0,04684","0,04569","","1,05%"
"01/08/2024","0,04586","0,04436","0,04655","0,04397","","3,31%"
"01/07/2024","0,04439","0,04439","0,04513","0,04425","","0,05%"
"01/06/2024","0,04437","0,04457","0,04476","0,04405","","-0,40%"
"01/05/2024","0,04455","0,04456","0,04538","0,04448","","0,09%"
"01/04/2024","0,04451","0,04557","0,04569","0,04445","","-2,24%"
"01/03/2024","0,04553","0,04578","0,04620","0,04546","","-0,42%"
"01/02/2024","0,04572","0,04549","0,04627","0,04544","","0,68%"
"01/01/2024","0,04541","0,04617","0,04629","0,04523","","-1,48%"
"01/12/2023","0,04609","0,04600","0,04645","0,04554","","0,22%"
"01/11/2023","0,04599","0,04606","0,04694","0,04575","","-0,11%"
"01/10/2023","0,04604","0,04713","0,04713","0,04583","","-2,52%"
"01/09/2023","0,04723","0,04757","0,04812","0,04700","","-0,86%"
"01/08/2023","0,04764","0,04747","0,04789","0,04710","","0,61%"
"01/07/2023","0,04735","0,04823","0,04830","0,04727","","-2,09%"
"01/06/2023","0,04836","0,04739","0,04848","0,04707","","1,98%"
"01/05/2023","0,04742","0,04720","0,04762","0,04687","","0,70%"
"01/04/2023","0,04709","0,04588","0,04727","0,04586","","2,84%"
"01/03/2023","0,04579","0,04544","0,04586","0,04442","","0,77%"
"01/02/2023","0,04544","0,04500","0,04573","0,04470","","0,89%"
"01/01/2023","0,04504","0,04453","0,04558","0,04333","","1,67%"
"01/12/2022","0,04430","0,04479","0,04586","0,04424","","-1,66%"
"01/11/2022","0,04505","0,04695","0,04710","0,04494","","-3,74%"
"01/10/2022","0,04680","0,04668","0,04702","0,04600","","0,19%"
"01/09/2022","0,04671","0,04653","0,04775","0,04631","","0,65%"
"01/08/2022","0,04641","0,04549","0,04668","0,04512","","2,09%"
"01/07/2022","0,04546","0,04493","0,04552","0,04462","","1,13%"
"01/06/2022","0,04495","0,04573","0,04640","0,04490","","-1,75%"
"01/05/2022","0,04575","0,04546","0,04667","0,04529","","0,37%"
"01/04/2022","0,04558","0,04414","0,04589","0,04414","","3,33%"
"01/03/2022","0,04411","0,04390","0,04461","0,04381","","0,48%"
"01/02/2022","0,04390","0,04443","0,04452","0,04388","","-0,72%"
"01/01/2022","0,04422","0,04459","0,04470","0,04402","","-0,76%"
"01/12/2021","0,04456","0,04446","0,04493","0,04408","","0,29%"
"01/11/2021","0,04443","0,04521","0,04522","0,04439","","-1,70%"
"01/10/2021","0,04520","0,04505","0,04583","0,04492","","0,40%"
"01/09/2021","0,04502","0,04529","0,04552","0,04501","","-0,55%"
"01/08/2021","0,04527","0,04468","0,04532","0,04467","","1,34%"
"01/07/2021","0,04467","0,04456","0,04495","0,04442","","0,36%"
"01/06/2021","0,04451","0,04459","0,04513","0,04434","","-0,16%"
"01/05/2021","0,04458","0,04479","0,04550","0,04447","","-0,49%"
"01/04/2021","0,04480","0,04513","0,04528","0,04452","","-0,64%"
"01/03/2021","0,04509","0,04535","0,04558","0,04494","","-0,53%"
"01/02/2021","0,04533","0,04584","0,04657","0,04528","","-0,94%"
"01/01/2021","0,04576","0,04639","0,04685","0,04551","","-1,40%"
"01/12/2020","0,04641","0,04659","0,04671","0,04584","","-0,13%"
"01/11/2020","0,04647","0,04576","0,04729","0,04542","","1,60%"
"01/10/2020","0,04574","0,04564","0,04650","0,04532","","0,51%"
"01/09/2020","0,04551","0,04700","0,04702","0,04548","","-3,19%"
"01/08/2020","0,04701","0,04782","0,04801","0,04651","","-1,11%"
"01/07/2020","0,04754","0,04958","0,04959","0,04707","","-3,57%"
"01/06/2020","0,04930","0,04870","0,05124","0,04862","","1,19%"
"01/05/2020","0,04872","0,04747","0,04894","0,04662","","3,00%"
"01/04/2020","0,04730","0,04343","0,04751","0,04279","","9,01%"
"01/03/2020","0,04339","0,04871","0,04919","0,04268","","-10,90%"
"01/02/2020","0,04870","0,05080","0,05128","0,04865","","-4,10%"
"01/01/2020","0,05078","0,05016","0,05112","0,04982","","1,28%"
"01/12/2019","0,05014","0,04986","0,05035","0,04975","","0,62%"
"01/11/2019","0,04983","0,05011","0,05029","0,04970","","-0,58%"
"01/10/2019","0,05012","0,05042","0,05063","0,04990","","-0,44%"
"01/09/2019","0,05034","0,05046","0,05088","0,05014","","-0,16%"
"01/08/2019","0,05042","0,04896","0,05046","0,04856","","2,71%"
"01/07/2019","0,04909","0,04876","0,04950","0,04845","","1,05%"
"01/06/2019","0,04858","0,04837","0,04882","0,04812","","0,50%"
"01/05/2019","0,04834","0,04727","0,04846","0,04704","","2,33%"
"01/04/2019","0,04724","0,04719","0,04781","0,04708","","0,28%"
"01/03/2019","0,04711","0,04749","0,04755","0,04688","","-0,95%"
"01/02/2019","0,04756","0,04805","0,04857","0,04745","","-0,73%"
"01/01/2019","0,04791","0,04762","0,04896","0,04730","","0,23%"
"01/12/2018","0,04780","0,04879","0,04891","0,04704","","-1,69%"
"01/11/2018","0,04862","0,04589","0,04868","0,04576","","6,02%"
"01/10/2018","0,04586","0,04611","0,04613","0,04521","","-0,48%"
"01/09/2018","0,04608","0,04634","0,04645","0,04570","","-0,58%"
"01/08/2018","0,04635","0,04719","0,04752","0,04632","","-1,74%"
"01/07/2018","0,04717","0,04645","0,04748","0,04598","","2,19%"
"01/06/2018","0,04616","0,04613","0,04667","0,04587","","0,11%"
"01/05/2018","0,04611","0,04550","0,04617","0,04485","","1,32%"
"01/04/2018","0,04551","0,04566","0,04590","0,04526","","-0,09%"
"01/03/2018","0,04555","0,04592","0,04631","0,04551","","-1,02%"
"01/02/2018","0,04602","0,04696","0,04700","0,04600","","-1,94%"
"01/01/2018","0,04693","0,04806","0,04865","0,04693","","-2,13%"
"01/12/2017","0,04795","0,04887","0,04899","0,04794","","-1,84%"
"01/11/2017","0,04885","0,04884","0,04919","0,04857","","-0,10%"
"01/10/2017","0,04890","0,04936","0,04944","0,04862","","-0,97%"
"01/09/2017","0,04938","0,04939","0,04976","0,04865","","0,00%"
"01/08/2017","0,04938","0,05051","0,05054","0,04931","","-2,14%"
"01/07/2017","0,05046","0,05093","0,05096","0,05044","","-0,79%"
"01/06/2017","0,05086","0,05102","0,05142","0,05073","","-0,49%"
"01/05/2017","0,05111","0,05172","0,05189","0,05111","","-1,10%"
"01/04/2017","0,05168","0,05170","0,05203","0,05161","","0,08%"
"01/03/2017","0,05164","0,05139","0,05195","0,05138","","0,33%"
"01/02/2017","0,05147","0,05155","0,05170","0,05139","","-0,02%"
"01/01/2017","0,05148","0,05150","0,05228","0,05110","","-0,10%"
"01/12/2016","0,05153","0,05069","0,05204","0,05068","","1,48%"
"01/11/2016","0,05078","0,05199","0,05201","0,05022","","-2,18%"
"01/10/2016","0,05191","0,05118","0,05223","0,05118","","1,62%"
"01/09/2016","0,05108","0,05032","0,05164","0,05027","","1,51%"
"01/08/2016","0,05032","0,05071","0,05086","0,05011","","-0,67%"
"01/07/2016","0,05066","0,05044","0,05125","0,05039","","0,74%"
"01/06/2016","0,05029","0,04818","0,05061","0,04765","","4,44%"
"01/05/2016","0,04815","0,04901","0,04944","0,04785","","-1,89%"
"01/04/2016","0,04908","0,04885","0,04941","0,04880","","0,97%"
"01/03/2016","0,04861","0,04910","0,05016","0,04843","","-0,76%"
"01/02/2016","0,04898","0,04779","0,04929","0,04758","","2,64%"
"01/01/2016","0,04772","0,04697","0,04781","0,04673","","1,36%"
"01/12/2015","0,04708","0,04624","0,04781","0,04580","","1,84%"
"01/11/2015","0,04623","0,04620","0,04718","0,04613","","0,24%"
"01/10/2015","0,04612","0,04342","0,04800","0,04321","","6,34%"
"01/09/2015","0,04337","0,04532","0,04535","0,04319","","-4,39%"
"01/08/2015","0,04536","0,04597","0,04698","0,04532","","-1,18%"
"01/07/2015","0,04590","0,04645","0,04675","0,04589","","-1,27%"
"01/06/2015","0,04649","0,04692","0,04697","0,04634","","-0,81%"
"01/05/2015","0,04687","0,04777","0,04784","0,04685","","-2,01%"
"01/04/2015","0,04783","0,04743","0,04846","0,04741","","0,93%"
"01/03/2015","0,04739","0,04832","0,04848","0,04717","","-2,27%"
"01/02/2015","0,04849","0,04917","0,04968","0,04843","","-1,70%"
"01/01/2015","0,04933","0,04995","0,05015","0,04866","","-1,50%"
"01/12/2014","0,05008","0,05021","0,05026","0,04786","","-0,46%"
"01/11/2014","0,05031","0,05045","0,05066","0,05009","","-0,49%"
"01/10/2014","0,05056","0,05043","0,05118","0,04998","","0,42%"
"01/09/2014","0,05035","0,05246","0,05252","0,05018","","-4,15%"
"01/08/2014","0,05253","0,05333","0,05334","0,05200","","-1,46%"
"01/07/2014","0,05331","0,05237","0,05400","0,05171","","1,97%"
"01/06/2014","0,05228","0,05329","0,05333","0,05138","","-2,26%"
"01/05/2014","0,05349","0,05422","0,05503","0,05351","","-1,16%"
"01/04/2014","0,05412","0,05514","0,05522","0,05353","","-1,06%"
"01/03/2014","0,05470","0,05291","0,05487","0,05266","","3,38%"
"01/02/2014","0,05291","0,04952","0,05310","0,04944","","6,65%"
"01/01/2014","0,04961","0,04953","0,05035","0,04916","","-0,18%"
"01/12/2013","0,04970","0,05097","0,05209","0,04932","","-2,36%"
"01/11/2013","0,05090","0,05391","0,05398","0,05066","","-5,79%"
"01/10/2013","0,05403","0,05266","0,05568","0,05266","","2,33%"
"01/09/2013","0,05280","0,05604","0,05606","0,05239","","-5,70%"
"01/08/2013","0,05599","0,05962","0,05965","0,05587","","-6,04%"
"01/07/2013","0,05959","0,06181","0,06182","0,05959","","-3,59%"
"01/06/2013","0,06181","0,06254","0,06273","0,06144","","-1,26%"
"01/05/2013","0,06260","0,06340","0,06342","0,06241","","-1,25%"
"01/04/2013","0,06339","0,06390","0,06406","0,06335","","-0,80%"
"01/03/2013","0,06390","0,06434","0,06436","0,06344","","-0,71%"
"01/02/2013","0,06436","0,06413","0,06491","0,06363","","0,44%"
"01/01/2013","0,06408","0,06449","0,06469","0,06350","","-0,79%"
"01/12/2012","0,06459","0,06492","0,06495","0,06400","","-0,43%"
"01/11/2012","0,06487","0,06481","0,06505","0,06459","","-0,05%"
"01/10/2012","0,06490","0,06567","0,06567","0,06475","","-1,11%"
