"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,00006","0,00006","0,00006","0,00006","","-99,99%"
"01/01/2025","0,59170","0,60005","0,60475","0,58575","","-1,35%"
"01/12/2024","0,59980","0,59660","0,60125","0,58890","","0,57%"
"01/11/2024","0,59640","0,58540","0,60955","0,58100","","1,91%"
"01/10/2024","0,58520","0,59315","0,59705","0,57990","","-1,30%"
"01/09/2024","0,59290","0,58570","0,59540","0,57985","","1.043.512,94%"
"01/08/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/07/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/06/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/05/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/04/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/03/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/02/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/01/2024","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/12/2023","0,00006","0,00006","0,00007","0,00006","","-16,18%"
"01/11/2023","0,00007","0,00006","0,00007","0,00006","","14,65%"
"01/10/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/09/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/08/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/07/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/06/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/05/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/04/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/03/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/02/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/01/2023","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/12/2022","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/11/2022","0,00006","0,00006","0,00007","0,00006","","0,00%"
"01/10/2022","0,00006","0,00007","0,00007","0,00006","","0,00%"
"01/09/2022","0,00007","0,00007","0,00007","0,00007","","0,00%"
"01/08/2022","0,00007","0,00007","0,00007","0,00007","","0,00%"
"01/07/2022","0,00007","0,00006","0,00007","0,00006","","0,00%"
