"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,00005","0,00005","0,00005","0,00005","","-99,99%"
"01/01/2025","0,49470","0,49620","0,50780","0,49080","","-0,30%"
"01/12/2024","0,49620","0,49505","0,49845","0,48455","","0,20%"
"01/11/2024","0,49520","0,49390","0,50445","0,48700","","0,30%"
"01/10/2024","0,49370","0,49380","0,49765","0,48540","","0,04%"
"01/09/2024","0,49350","0,49305","0,49975","0,48825","","1.031.382,67%"
"01/08/2024","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/07/2024","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/06/2024","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/05/2024","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/04/2024","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/03/2024","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/02/2024","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/01/2024","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/12/2023","0,00005","0,00005","0,00005","0,00005","","-15,19%"
"01/11/2023","0,00006","0,00005","0,00006","0,00005","","13,44%"
"01/10/2023","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/09/2023","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/08/2023","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/07/2023","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/06/2023","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/05/2023","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/04/2023","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/03/2023","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/02/2023","0,00006","0,00005","0,00006","0,00005","","0,00%"
"01/01/2023","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/12/2022","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/11/2022","0,00005","0,00006","0,00006","0,00005","","0,00%"
"01/10/2022","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/09/2022","0,00006","0,00006","0,00006","0,00006","","0,00%"
"01/08/2022","0,00006","0,00006","0,00006","0,00005","","0,00%"
"01/07/2022","0,00006","0,00005","0,00006","0,00005","","0,00%"
"01/06/2022","0,00006","0,00005","0,00006","0,00005","","0,00%"
"01/05/2022","0,00005","0,00006","0,00006","0,00005","","0,00%"
"01/04/2022","0,00006","0,00005","0,00006","0,00005","","0,00%"
"01/03/2022","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/02/2022","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/01/2022","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/12/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/11/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/10/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/09/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/08/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/07/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/06/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/05/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/04/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/03/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/02/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/01/2021","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/12/2020","0,00005","0,00005","0,00005","0,00005","","0,00%"
"01/11/2020","0,00005","0,00005","0,00006","0,00005","","0,00%"
"01/10/2020","0,00005","0,00552","0,00552","0,00005","","-99,05%"
"01/09/2020","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/08/2020","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/07/2020","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/06/2020","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/05/2020","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/04/2020","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/03/2020","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/02/2020","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/01/2020","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/12/2019","0,00552","0,00552","0,00552","0,00552","","0,00%"
"01/11/2019","0,00552","0,00551","0,00559","0,00549","","0,16%"
"01/10/2019","0,00551","0,00572","0,00580","0,00544","","-3,68%"
"01/09/2019","0,00572","0,00577","0,00588","0,00564","","-0,78%"
"01/08/2019","0,00577","0,00584","0,00589","0,00570","","-1,22%"
"01/07/2019","0,00584","0,00558","0,00589","0,00517","","4,69%"
"01/06/2019","0,00558","0,00556","0,00559","0,00507","","1,09%"
"01/05/2019","0,00552","0,00538","0,00558","0,00533","","2,49%"
"01/04/2019","0,00538","0,00540","0,00550","0,00498","","-0,27%"
"01/03/2019","0,00540","0,00536","0,00547","0,00526","","0,76%"
