"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,005377","0,005293","0,005390","0,005151","","-99,99%"
"01/01/2025","53,070000","53,200001","53,580002","52,674999","","-0,13%"
"01/12/2024","53,139999","53,369999","53,535000","52,099998","","-0,39%"
"01/11/2024","53,349998","53,570000","54,000000","52,880001","","-0,35%"
"01/10/2024","53,540001","55,384998","55,384998","53,279999","","-3,18%"
"01/09/2024","55,299999","54,270000","55,490002","53,860001","","1.024.005,91%"
"01/08/2024","0,005400","0,005150","0,005494","0,005139","","4,85%"
"01/07/2024","0,005150","0,005099","0,005202","0,005089","","1,01%"
"01/06/2024","0,005099","0,005134","0,005169","0,005060","","-0,65%"
"01/05/2024","0,005133","0,005129","0,005309","0,005118","","0,06%"
"01/04/2024","0,005129","0,005258","0,005265","0,005091","","-2,45%"
"01/03/2024","0,005258","0,005277","0,005371","0,005235","","-0,36%"
"01/02/2024","0,005277","0,005265","0,005340","0,005255","","0,23%"
"01/01/2024","0,005265","0,005400","0,005413","0,005137","","-2,50%"
"01/12/2023","0,005400","0,005357","0,005426","0,005309","","0,80%"
"01/11/2023","0,005357","0,005254","0,005524","0,005106","","1,97%"
"01/10/2023","0,005254","0,005359","0,005429","0,005116","","-2,13%"
"01/09/2023","0,005369","0,005426","0,005453","0,005277","","-1,07%"
"01/08/2023","0,005426","0,005442","0,005550","0,005388","","-0,29%"
"01/07/2023","0,005442","0,005459","0,006037","0,005193","","-0,30%"
"01/06/2023","0,005459","0,005515","0,005578","0,005438","","-1,02%"
"01/05/2023","0,005515","0,005572","0,005606","0,005500","","-1,03%"
"01/04/2023","0,005572","0,005490","0,005592","0,005467","","1,49%"
"01/03/2023","0,005490","0,005419","0,005513","0,005230","","1,32%"
"01/02/2023","0,005419","0,005451","0,005527","0,005378","","-0,60%"
"01/01/2023","0,005451","0,005315","0,005489","0,005239","","2,32%"
"01/12/2022","0,005328","0,005199","0,005388","0,005183","","2,47%"
"01/11/2022","0,005199","0,005286","0,005325","0,005131","","-1,63%"
"01/10/2022","0,005286","0,005335","0,005437","0,005265","","-0,92%"
"01/09/2022","0,005335","0,005353","0,005414","0,005299","","-0,35%"
"01/08/2022","0,005353","0,005339","0,005452","0,005252","","0,27%"
"01/07/2022","0,005339","0,005289","0,005369","0,005194","","0,94%"
"01/06/2022","0,005289","0,005335","0,005405","0,005245","","-0,85%"
"01/05/2022","0,005335","0,005268","0,005357","0,005243","","1,26%"
"01/04/2022","0,005268","0,005287","0,005379","0,004880","","-0,36%"
"01/03/2022","0,005287","0,005239","0,005402","0,005235","","0,91%"
"01/02/2022","0,005239","0,005193","0,005330","0,005168","","0,89%"
"01/01/2022","0,005193","0,005232","0,005275","0,005141","","-0,74%"
"01/12/2021","0,005232","0,005227","0,005335","0,005128","","0,10%"
"01/11/2021","0,005227","0,005266","0,005289","0,005157","","-0,75%"
"01/10/2021","0,005266","0,005166","0,005464","0,005166","","1,93%"
"01/09/2021","0,005166","0,005122","0,005208","0,005097","","0,86%"
"01/08/2021","0,005122","0,005151","0,005212","0,005096","","-0,56%"
"01/07/2021","0,005151","0,005091","0,005175","0,005080","","1,18%"
"01/06/2021","0,005091","0,005076","0,005163","0,005075","","0,29%"
"01/05/2021","0,005076","0,005110","0,005205","0,005047","","-0,66%"
"01/04/2021","0,005110","0,005004","0,005216","0,005004","","2,12%"
"01/03/2021","0,005004","0,005134","0,005198","0,004993","","-2,53%"
"01/02/2021","0,005134","0,005196","0,005238","0,005041","","-1,21%"
"01/01/2021","0,005196","0,005263","0,005278","0,005141","","-1,27%"
"01/12/2020","0,005263","0,005225","0,005273","0,005153","","0,74%"
"01/11/2020","0,005225","0,005045","0,005359","0,005045","","3,53%"
"01/10/2020","0,005047","0,004950","0,005066","0,004912","","1,96%"
"01/09/2020","0,004950","0,005045","0,005060","0,004851","","-1,89%"
"01/08/2020","0,005045","0,005097","0,005177","0,004992","","-1,02%"
"01/07/2020","0,005097","0,005187","0,005309","0,004998","","-1,73%"
"01/06/2020","0,005187","0,005167","0,005448","0,005163","","0,39%"
"01/05/2020","0,005167","0,004960","0,005305","0,004902","","4,18%"
"01/04/2020","0,004960","0,004591","0,005121","0,004302","","8,02%"
"01/03/2020","0,004591","0,005042","0,005239","0,004483","","-8,94%"
"01/02/2020","0,005042","0,005194","0,005250","0,004983","","-2,87%"
"01/01/2020","0,005191","0,005140","0,005273","0,005062","","1,00%"
"01/12/2019","0,005140","0,005084","0,005155","0,005022","","1,09%"
"01/11/2019","0,005084","0,005024","0,005140","0,005024","","1,19%"
"01/10/2019","0,005024","0,004987","0,005078","0,004967","","0,75%"
"01/09/2019","0,004987","0,005057","0,005144","0,004960","","-1,41%"
"01/08/2019","0,005059","0,004895","0,005082","0,004812","","3,33%"
"01/07/2019","0,004895","0,004880","0,004964","0,004814","","0,31%"
"01/06/2019","0,004880","0,004871","0,005061","0,004836","","0,21%"
"01/05/2019","0,004870","0,004882","0,004916","0,004765","","-0,23%"
"01/04/2019","0,004882","0,004876","0,004982","0,004769","","0,11%"
"01/03/2019","0,004876","0,004988","0,005040","0,004809","","-2,25%"
"01/02/2019","0,004988","0,005096","0,005175","0,004988","","-2,12%"
"01/01/2019","0,005096","0,004820","0,005115","0,004799","","5,74%"
"01/12/2018","0,004820","0,004878","0,005018","0,004761","","-0,83%"
"01/11/2018","0,004860","0,004873","0,005006","0,004826","","-0,27%"
"01/10/2018","0,004873","0,004868","0,004931","0,004777","","0,11%"
"01/09/2018","0,004868","0,004820","0,004931","0,004670","","1,39%"
"01/08/2018","0,004801","0,004753","0,004854","0,004707","","1,02%"
"01/07/2018","0,004753","0,004790","0,004822","0,004723","","-0,78%"
"01/06/2018","0,004790","0,004860","0,004920","0,004770","","-1,44%"
"01/05/2018","0,004860","0,004775","0,004880","0,004695","","1,67%"
"01/04/2018","0,004780","0,004730","0,004810","0,004730","","0,84%"
"01/03/2018","0,004740","0,004740","0,004750","0,004690","","0,00%"
"01/02/2018","0,004740","0,004755","0,004755","0,004695","","-0,32%"
"01/01/2018","0,004755","0,004735","0,004810","0,004680","","0,42%"
"01/12/2017","0,004735","0,004760","0,004760","0,004745","","-0,53%"
"01/11/2017","0,004760","0,004770","0,004805","0,004760","","-0,21%"
"01/10/2017","0,004770","0,004850","0,004855","0,004770","","-1,65%"
"01/09/2017","0,004850","0,004800","0,004905","0,004790","","0,94%"
"01/08/2017","0,004805","0,004820","0,004805","0,004795","","-0,72%"
"01/07/2017","0,004840","0,004860","0,004860","0,004840","","-0,21%"
"01/06/2017","0,004850","0,004850","0,004860","0,004850","","0,00%"
"01/05/2017","0,004850","0,004820","0,004860","0,004820","","0,10%"
"01/04/2017","0,004845","0,004865","0,004910","0,004845","","-1,52%"
"01/03/2017","0,004920","0,004980","0,004980","0,004945","","-2,57%"
"01/02/2017","0,005050","0,005060","0,005060","0,005050","","-0,10%"
"01/01/2017","0,005055","0,005025","0,005150","0,005025","","0,10%"
"01/12/2016","0,005050","0,005050","0,005150","0,005050","","0,00%"
"01/11/2016","0,005050","0,005120","0,005120","0,004935","","-1,85%"
"01/10/2016","0,005145","0,005110","0,005150","0,005110","","0,10%"
"01/09/2016","0,005140","0,005040","0,005160","0,004940","","1,78%"
