"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,0092","0,0094","0,0095","0,0092","","-99,03%"
"01/01/2025","0,9517","0,9767","0,9822","0,9442","","-2,52%"
"01/12/2024","0,9763","0,9451","0,9794","0,9325","","3,33%"
"01/11/2024","0,9448","0,9687","0,9887","0,9433","","-2,43%"
"01/10/2024","0,9683","0,9487","0,9839","0,9401","","2,11%"
"01/09/2024","0,9483","0,9459","0,9667","0,9063","","0,31%"
"01/08/2024","0,9454","0,9220","0,9517","0,8753","","2,53%"
"01/07/2024","0,9221","0,9825","0,9986","0,9201","","-6,09%"
"01/06/2024","0,9819","0,9681","0,9836","0,9528","","1,46%"
"01/05/2024","0,9678","0,9706","0,9829","0,9420","","-0,25%"
"01/04/2024","0,9702","0,9543","0,9873","0,9434","","1,67%"
"01/03/2024","0,9543","0,9543","0,9698","0,9395","","0,02%"
"01/02/2024","0,9541","0,9309","0,9676","0,9255","","2,54%"
"01/01/2024","0,9305","0,9147","0,9520","0,9133","","1,58%"
"01/12/2023","0,9160","0,9555","0,9581","0,9071","","-4,09%"
"01/11/2023","0,9551","0,9550","0,9750","0,9430","","0,06%"
"01/10/2023","0,9545","0,9671","0,9689","0,9365","","-1,19%"
"01/09/2023","0,9660","0,9556","0,9701","0,9477","","1,13%"
"01/08/2023","0,9552","0,9437","0,9658","0,9329","","1,27%"
"01/07/2023","0,9432","0,9629","0,9649","0,9158","","-2,01%"
"01/06/2023","0,9625","0,9296","0,9677","0,9237","","3,58%"
"01/05/2023","0,9292","0,9291","0,9423","0,9083","","0,05%"
"01/04/2023","0,9287","0,8869","0,9310","0,8753","","4,90%"
"01/03/2023","0,8853","0,8932","0,8973","0,8482","","-0,84%"
"01/02/2023","0,8928","0,8678","0,8981","0,8558","","2,90%"
"01/01/2023","0,8676","0,8423","0,8808","0,8311","","3,03%"
"01/12/2022","0,8421","0,8777","0,8849","0,8369","","-4,01%"
"01/11/2022","0,8773","0,9535","0,9542","0,8745","","-7,97%"
"01/10/2022","0,9533","0,9492","0,9721","0,9309","","0,31%"
"01/09/2022","0,9504","0,9363","0,9761","0,9344","","1,53%"
"01/08/2022","0,9361","0,8982","0,9370","0,8726","","4,27%"
"01/07/2022","0,8978","0,9111","0,9298","0,8922","","-1,44%"
"01/06/2022","0,9109","0,8824","0,9285","0,8822","","3,22%"
"01/05/2022","0,8825","0,8952","0,9034","0,8621","","-1,44%"
"01/04/2022","0,8954","0,8468","0,9054","0,8468","","5,74%"
"01/03/2022","0,8468","0,8005","0,8711","0,7965","","5,81%"
"01/02/2022","0,8003","0,8005","0,8122","0,7951","","0,01%"
"01/01/2022","0,8002","0,8076","0,8135","0,7911","","-0,88%"
"01/12/2021","0,8073","0,7901","0,8088","0,7818","","2,23%"
"01/11/2021","0,7897","0,8045","0,8103","0,7857","","-1,84%"
"01/10/2021","0,8045","0,7775","0,8149","0,7740","","3,50%"
"01/09/2021","0,7773","0,7711","0,7840","0,7660","","0,82%"
"01/08/2021","0,7710","0,7584","0,7715","0,7570","","1,66%"
"01/07/2021","0,7584","0,7663","0,7699","0,7513","","-0,98%"
"01/06/2021","0,7659","0,7673","0,7785","0,7588","","-0,12%"
"01/05/2021","0,7668","0,7564","0,7733","0,7536","","1,40%"
"01/04/2021","0,7562","0,7624","0,7632","0,7400","","-0,75%"
"01/03/2021","0,7619","0,7473","0,7648","0,7442","","2,08%"
"01/02/2021","0,7464","0,7461","0,7628","0,7422","","0,11%"
"01/01/2021","0,7456","0,7344","0,7481","0,7325","","1,54%"
"01/12/2020","0,7343","0,7388","0,7421","0,7251","","-0,35%"
"01/11/2020","0,7369","0,7150","0,7514","0,7111","","3,03%"
"01/10/2020","0,7152","0,7088","0,7237","0,7050","","1,23%"
"01/09/2020","0,7065","0,7274","0,7286","0,7042","","-2,82%"
"01/08/2020","0,7270","0,7253","0,7314","0,7080","","0,76%"
"01/07/2020","0,7215","0,7572","0,7588","0,7136","","-4,20%"
"01/06/2020","0,7531","0,7374","0,7921","0,7344","","2,31%"
"01/05/2020","0,7361","0,7206","0,7386","0,7024","","2,51%"
"01/04/2020","0,7181","0,6594","0,7228","0,6471","","8,98%"
"01/03/2020","0,6589","0,7485","0,7634","0,6560","","-12,47%"
"01/02/2020","0,7528","0,7940","0,8188","0,7493","","-5,12%"
"01/01/2020","0,7934","0,7825","0,8091","0,7728","","1,43%"
"01/12/2019","0,7822","0,7766","0,7862","0,7678","","0,79%"
"01/11/2019","0,7761","0,7699","0,7824","0,7670","","0,88%"
"01/10/2019","0,7693","0,7614","0,7792","0,7513","","1,08%"
"01/09/2019","0,7611","0,7490","0,7775","0,7433","","1,62%"
"01/08/2019","0,7490","0,7761","0,7800","0,7336","","-3,42%"
"01/07/2019","0,7755","0,7653","0,7781","0,7588","","1,57%"
"01/06/2019","0,7635","0,7592","0,7642","0,7541","","0,71%"
"01/05/2019","0,7581","0,7819","0,7852","0,7548","","-3,02%"
"01/04/2019","0,7817","0,7781","0,8000","0,7781","","0,46%"
"01/03/2019","0,7781","0,7920","0,7942","0,7714","","-1,69%"
"01/02/2019","0,7915","0,7793","0,7950","0,7780","","1,60%"
"01/01/2019","0,7790","0,7620","0,7807","0,7265","","2,28%"
"01/12/2018","0,7616","0,7933","0,7986","0,7555","","-3,97%"
"01/11/2018","0,7931","0,7429","0,7953","0,7410","","6,79%"
"01/10/2018","0,7427","0,7630","0,7653","0,7319","","-2,64%"
"01/09/2018","0,7628","0,7541","0,7631","0,7413","","1,22%"
"01/08/2018","0,7536","0,7758","0,7766","0,7513","","-2,82%"
"01/07/2018","0,7755","0,7725","0,7869","0,7636","","0,45%"
"01/06/2018","0,7720","0,7831","0,7962","0,7648","","-1,38%"
"01/05/2018","0,7828","0,7860","0,7901","0,7700","","-0,37%"
"01/04/2018","0,7857","0,7719","0,7886","0,7681","","1,81%"
"01/03/2018","0,7717","0,7761","0,7804","0,7587","","-0,53%"
"01/02/2018","0,7758","0,8155","0,8213","0,7752","","-4,87%"
"01/01/2018","0,8155","0,8304","0,8449","0,8070","","-1,78%"
"01/12/2017","0,8303","0,8320","0,8394","0,8238","","-0,18%"
"01/11/2017","0,8318","0,8378","0,8481","0,8199","","-0,69%"
"01/10/2017","0,8376","0,8355","0,8441","0,8274","","0,34%"
"01/09/2017","0,8348","0,8242","0,8487","0,8120","","1,31%"
"01/08/2017","0,8240","0,8274","0,8340","0,8116","","-0,40%"
"01/07/2017","0,8273","0,8414","0,8551","0,8270","","-1,84%"
"01/06/2017","0,8428","0,8315","0,8474","0,8193","","1,38%"
"01/05/2017","0,8313","0,8350","0,8565","0,8253","","-0,63%"
"01/04/2017","0,8366","0,8360","0,8415","0,8145","","0,11%"
"01/03/2017","0,8357","0,8457","0,8634","0,8272","","-1,11%"
"01/02/2017","0,8451","0,8448","0,8625","0,8375","","0,08%"
"01/01/2017","0,8444","0,8688","0,8800","0,8393","","-2,64%"
"01/12/2016","0,8673","0,8444","0,8863","0,8345","","2,72%"
"01/11/2016","0,8443","0,8034","0,8452","0,7674","","5,12%"
"01/10/2016","0,8032","0,7766","0,8087","0,7754","","3,48%"
"01/09/2016","0,7762","0,7796","0,7890","0,7620","","-0,41%"
"01/08/2016","0,7794","0,7793","0,7863","0,7551","","0,04%"
"01/07/2016","0,7791","0,7818","0,8194","0,7620","","-0,28%"
"01/06/2016","0,7813","0,8105","0,8131","0,7419","","-3,54%"
"01/05/2016","0,8100","0,8062","0,8252","0,7973","","0,46%"
"01/04/2016","0,8063","0,8489","0,8547","0,8061","","-4,97%"
"01/03/2016","0,8485","0,8427","0,8773","0,8389","","0,75%"
"01/02/2016","0,8422","0,8789","0,8938","0,8249","","-4,11%"
"01/01/2016","0,8783","0,8724","0,8834","0,8308","","0,68%"
"01/12/2015","0,8724","0,8898","0,8964","0,8548","","-1,90%"
"01/11/2015","0,8893","0,8809","0,9099","0,8790","","1,01%"
"01/10/2015","0,8804","0,8183","0,9032","0,8105","","7,67%"
"01/09/2015","0,8177","0,8629","0,8633","0,8099","","-5,18%"
"01/08/2015","0,8624","0,9168","0,9251","0,8291","","-5,84%"
"01/07/2015","0,9159","0,9187","0,9330","0,9022","","-0,29%"
"01/06/2015","0,9186","0,9387","0,9481","0,9144","","-2,11%"
