"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,0892","0,0891","0,0900","0,0882","","-99,00%"
"01/01/2025","8,9280","9,1850","9,1850","8,7505","","-2,67%"
"01/12/2024","9,1730","8,8100","9,1935","8,7795","","4,25%"
"01/11/2024","8,7990","8,7530","8,9595","8,6935","","0,64%"
"01/10/2024","8,7430","8,7025","8,9275","8,5575","","0,54%"
"01/09/2024","8,6960","8,6545","8,8675","8,5475","","0,59%"
"01/08/2024","8,6450","8,4090","8,7000","8,3550","","2,71%"
"01/07/2024","8,4170","8,4355","8,6000","8,3920","","-0,14%"
"01/06/2024","8,4290","8,5115","8,5415","8,3685","","-0,84%"
"01/05/2024","8,5000","8,5245","8,5875","8,3765","","-0,21%"
"01/04/2024","8,5180","8,4915","8,8330","8,4275","","0,44%"
"01/03/2024","8,4810","8,5005","8,5635","8,3835","","-0,12%"
"01/02/2024","8,4910","8,4570","8,6185","8,4050","","0,51%"
"01/01/2024","8,4480","8,4095","8,6360","8,3845","","0,50%"
"01/12/2023","8,4060","8,3875","8,5485","8,2490","","0,37%"
"01/11/2023","8,3750","8,5160","8,5530","8,2830","","-1,57%"
"01/10/2023","8,5090","8,7520","8,7715","8,4205","","-2,69%"
"01/09/2023","8,7440","8,7030","8,7795","8,5845","","0,53%"
"01/08/2023","8,6980","8,4765","8,8060","8,4540","","2,68%"
"01/07/2023","8,4710","8,7840","8,7865","8,3750","","-3,41%"
"01/06/2023","8,7700","8,8215","8,8395","8,4850","","-0,42%"
"01/05/2023","8,8070","9,1215","9,1625","8,7795","","-3,39%"
"01/04/2023","9,1160","8,7130","9,1680","8,7080","","4,69%"
"01/03/2023","8,7080","8,6785","8,7270","8,3140","","0,40%"
"01/02/2023","8,6730","8,2305","8,7080","8,1195","","5,45%"
"01/01/2023","8,2250","8,1065","8,3160","7,9300","","1,57%"
"01/12/2022","8,0980","8,2750","8,4940","8,0355","","-2,12%"
"01/11/2022","8,2730","9,1490","9,1655","8,2675","","-9,49%"
"01/10/2022","9,1400","9,4580","9,4950","9,0545","","-3,33%"
"01/09/2022","9,4550","9,0400","9,5110","9,0355","","4,65%"
"01/08/2022","9,0350","8,7865","9,1190","8,6925","","2,87%"
"01/07/2022","8,7830","8,6460","8,8750","8,6285","","1,64%"
"01/06/2022","8,6410","8,5210","8,8525","8,5060","","1,43%"
"01/05/2022","8,5190","8,7235","8,8590","8,4610","","-2,20%"
"01/04/2022","8,7110","8,4565","8,8110","8,4350","","3,10%"
