"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,0021","0,0021","0,0021","0,0021","","-99,90%"
"01/01/2025","2,0711","2,1330","2,1501","2,0567","","-2,67%"
"01/12/2024","2,1279","2,1666","2,1780","2,0890","","-1,58%"
"01/11/2024","2,1621","2,1542","2,2206","2,1303","","0,46%"
"01/10/2024","2,1522","2,1403","2,1699","2,1220","","0,63%"
"01/09/2024","2,1386","2,2028","2,2139","2,1184","","97.819,05%"
"01/08/2024","0,0022","0,0022","0,0022","0,0022","","0,00%"
"01/07/2024","0,0022","0,0022","0,0023","0,0022","","-2,77%"
"01/06/2024","0,0022","0,0023","0,0023","0,0022","","0,00%"
"01/05/2024","0,0023","0,0023","0,0023","0,0022","","0,00%"
"01/04/2024","0,0023","0,0023","0,0024","0,0022","","0,00%"
"01/03/2024","0,0023","0,0023","0,0023","0,0023","","0,00%"
"01/02/2024","0,0023","0,0022","0,0023","0,0022","","0,00%"
"01/01/2024","0,0023","0,0022","0,0023","0,0022","","0,00%"
"01/12/2023","0,0022","0,0023","0,0023","0,0022","","0,00%"
"01/11/2023","0,0023","0,0023","0,0023","0,0023","","0,00%"
"01/10/2023","0,0023","0,0024","0,0024","0,0023","","-3,84%"
"01/09/2023","0,0024","0,0023","0,0024","0,0023","","2,83%"
"01/08/2023","0,0023","0,0023","0,0023","0,0023","","-2,33%"
"01/07/2023","0,0023","0,0023","0,0023","0,0023","","0,00%"
"01/06/2023","0,0024","0,0023","0,0024","0,0023","","0,00%"
"01/05/2023","0,0023","0,0023","0,0046","0,0023","","0,00%"
"01/04/2023","0,0023","0,0023","0,0023","0,0023","","0,00%"
"01/03/2023","0,0023","0,0023","0,0023","0,0022","","0,00%"
"01/02/2023","0,0023","0,0022","0,0023","0,0022","","3,09%"
"01/01/2023","0,0022","0,0022","0,0022","0,0021","","0,00%"
"01/12/2022","0,0022","0,0022","0,0023","0,0004","","0,00%"
"01/11/2022","0,0022","0,0024","0,0024","0,0004","","-8,43%"
"01/10/2022","0,0024","0,0025","0,0243","0,0004","","0,00%"
"01/09/2022","0,0025","0,0025","0,0025","0,0023","","0,00%"
"01/08/2022","0,0025","0,0024","0,0048","0,0024","","0,00%"
"01/07/2022","0,0025","0,0024","0,0025","0,0024","","4,34%"
"01/06/2022","0,0023","0,0047","0,0047","0,0023","","-50,07%"
"01/05/2022","0,0047","0,0024","0,0047","0,0023","","97,33%"
"01/04/2022","0,0024","0,0023","0,0024","0,0023","","0,00%"
"01/03/2022","0,0024","0,0023","0,0024","0,0023","","3,96%"
"01/02/2022","0,0023","0,0023","0,0023","0,0022","","-3,19%"
"01/01/2022","0,0023","0,0023","0,0023","0,0023","","0,00%"
"01/12/2021","0,0024","0,0024","0,0024","0,0023","","0,00%"
"01/11/2021","0,0024","0,0023","0,0024","0,0023","","0,00%"
"01/10/2021","0,0024","0,0024","0,0024","0,0023","","0,00%"
"01/09/2021","0,0024","0,0023","0,0024","0,0023","","4,67%"
"01/08/2021","0,0023","0,0023","0,0023","0,0023","","0,00%"
"01/07/2021","0,0023","0,0022","0,0023","0,0022","","3,78%"
"01/06/2021","0,0022","0,0022","0,0022","0,0022","","0,00%"
"01/05/2021","0,0022","0,0022","0,0026","0,0021","","0,00%"
"01/04/2021","0,0021","0,0022","0,0022","0,0021","","0,00%"
"01/03/2021","0,0022","0,0021","0,0039","0,0021","","0,00%"
"01/02/2021","0,0021","0,0021","0,0022","0,0020","","0,00%"
"01/01/2021","0,0021","0,0021","0,0043","0,0021","","0,00%"
"01/12/2020","0,0021","0,0021","0,0022","0,0021","","0,00%"
"01/11/2020","0,0022","0,0021","0,0022","0,0021","","0,00%"
"01/10/2020","0,0021","0,2126","0,2132","0,0021","","-99,00%"
"01/09/2020","0,2126","0,2135","0,2147","0,2080","","-0,42%"
"01/08/2020","0,2135","0,2136","0,2151","0,2095","","-0,06%"
"01/07/2020","0,2136","0,2160","2,1310","0,2130","","-1,10%"
"01/06/2020","0,2160","2,1956","2,1956","0,2153","","-90,16%"
"01/05/2020","2,1956","2,1956","2,1956","2,1956","","0,00%"
"01/04/2020","2,1956","2,1956","2,1956","2,1956","","0,00%"
"01/03/2020","2,1956","0,2256","2,2010","0,2193","","874,32%"
"01/02/2020","0,2253","0,2288","0,2319","0,2191","","-1,54%"
"01/01/2020","0,2289","0,2138","0,2330","0,2138","","7,04%"
"01/12/2019","0,2138","0,2147","0,2176","0,2138","","-0,32%"
"01/11/2019","0,2145","0,2151","0,2177","0,2136","","-0,28%"
"01/10/2019","0,2151","0,2152","0,2166","0,2136","","-0,05%"
"01/09/2019","0,2152","0,2149","0,2193","0,2143","","0,17%"
"01/08/2019","0,2149","0,2179","0,2202","0,2132","","-1,37%"
"01/07/2019","0,2179","0,2173","0,2221","0,1993","","0,24%"
"01/06/2019","0,2173","0,2214","0,2220","0,1984","","-1,04%"
"01/05/2019","0,2196","0,2239","0,2251","0,2178","","-1,90%"
"01/04/2019","0,2239","0,2231","0,2279","0,2055","","0,37%"
"01/03/2019","0,2231","0,2241","0,2262","0,2213","","-0,47%"
"01/02/2019","0,2241","0,2228","0,2261","0,2202","","0,61%"
