"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,0020","0,0020","0,0020","0,0020","","0,00%"
"01/01/2025","0,0020","0,0020","0,0020","0,0020","","0,00%"
"01/12/2024","0,0020","0,0020","0,0021","0,0020","","0,00%"
"01/11/2024","0,0020","0,0020","0,0021","0,0020","","0,00%"
"01/10/2024","0,0020","0,0021","0,0021","0,0020","","-3,01%"
"01/09/2024","0,0021","0,0021","0,0021","0,0021","","0,00%"
"01/08/2024","0,0020","0,0020","0,0021","0,0020","","-4,70%"
"01/07/2024","0,0022","0,0020","0,0022","0,0020","","7,64%"
"01/06/2024","0,0020","0,0020","0,0020","0,0020","","0,00%"
"01/05/2024","0,0020","0,0020","0,0021","0,0020","","0,00%"
"01/04/2024","0,0020","0,0020","0,0020","0,0020","","0,00%"
"01/03/2024","0,0020","0,0020","0,0020","0,0020","","0,00%"
"01/02/2024","0,0020","0,0020","0,0020","0,0020","","0,00%"
"01/01/2024","0,0020","0,0020","0,0020","0,0019","","0,00%"
"01/12/2023","0,0020","0,0020","0,0020","0,0020","","5,14%"
"01/11/2023","0,0019","0,0020","0,0021","0,0019","","-6,22%"
"01/10/2023","0,0020","0,0021","0,0021","0,0020","","0,00%"
"01/09/2023","0,0021","0,0021","0,0021","0,0021","","0,00%"
"01/08/2023","0,0021","0,0021","0,0022","0,0020","","0,00%"
"01/07/2023","0,0021","0,0021","0,0023","0,0020","","0,00%"
"01/06/2023","0,0021","0,0020","0,0021","0,0020","","0,00%"
"01/05/2023","0,0021","0,0021","0,0021","0,0020","","0,00%"
"01/04/2023","0,0021","0,0020","0,0021","0,0020","","4,26%"
"01/03/2023","0,0020","0,0020","0,0021","0,0019","","0,00%"
"01/02/2023","0,0020","0,0020","0,0021","0,0020","","0,00%"
"01/01/2023","0,0020","0,0020","0,0020","0,0019","","0,00%"
"01/12/2022","0,0020","0,0020","0,0020","0,0019","","0,00%"
"01/11/2022","0,0020","0,0021","0,0022","0,0020","","-3,51%"
"01/10/2022","0,0021","0,0021","0,0021","0,0020","","0,00%"
"01/09/2022","0,0021","0,0020","0,0022","0,0020","","2,83%"
"01/08/2022","0,0021","0,0020","0,0021","0,0020","","0,00%"
"01/07/2022","0,0021","0,0020","0,0021","0,0020","","3,97%"
"01/06/2022","0,0020","0,0020","0,0020","0,0019","","0,00%"
"01/05/2022","0,0020","0,0020","0,0021","0,0020","","0,00%"
"01/04/2022","0,0020","0,0020","0,0021","0,0019","","0,00%"
"01/03/2022","0,0020","0,0019","0,0020","0,0019","","0,00%"
"01/02/2022","0,0019","0,0019","0,0020","0,0019","","-2,58%"
"01/01/2022","0,0020","0,0019","0,0020","0,0019","","0,00%"
"01/12/2021","0,0020","0,0019","0,0020","0,0019","","0,00%"
"01/11/2021","0,0020","0,0020","0,0020","0,0019","","0,00%"
"01/10/2021","0,0020","0,0019","0,0020","0,0004","","0,00%"
"01/09/2021","0,0019","0,0019","0,0020","0,0004","","8,50%"
"01/08/2021","0,0018","0,0019","0,0019","0,0018","","-6,79%"
"01/07/2021","0,0019","0,0019","0,0019","0,0019","","0,00%"
"01/06/2021","0,0019","0,0019","0,0023","0,0019","","0,00%"
"01/05/2021","0,0019","0,0019","0,0029","0,0019","","0,00%"
"01/04/2021","0,0019","0,0020","0,0020","0,0019","","-6,83%"
"01/03/2021","0,0021","0,0020","0,0021","0,0019","","5,98%"
"01/02/2021","0,0020","0,0020","0,0020","0,0019","","0,00%"
"01/01/2021","0,0020","0,0020","0,0040","0,0020","","0,00%"
"01/12/2020","0,0020","0,0020","0,0020","0,0020","","3,45%"
"01/11/2020","0,0020","0,0020","0,0020","0,0020","","0,00%"
"01/10/2020","0,0020","0,1947","0,1953","0,0019","","-99,00%"
"01/09/2020","0,1947","0,2018","0,2018","0,1944","","-3,55%"
"01/08/2020","0,2018","0,2016","0,2019","0,1975","","0,13%"
"01/07/2020","0,2016","0,2055","1,9820","0,1989","","-1,92%"
"01/06/2020","0,2055","2,0804","2,0804","0,2055","","-90,12%"
"01/05/2020","2,0804","2,0804","2,0804","2,0804","","0,00%"
"01/04/2020","2,0804","2,0804","2,0804","2,0804","","0,00%"
"01/03/2020","2,0804","0,2157","2,0830","0,2097","","864,66%"
"01/02/2020","0,2157","0,2212","0,2225","0,2107","","-2,49%"
"01/01/2020","0,2212","0,2154","0,2281","0,2148","","2,66%"
"01/12/2019","0,2154","0,2163","0,2179","0,2147","","-0,36%"
"01/11/2019","0,2162","0,2173","0,2178","0,2159","","-0,49%"
"01/10/2019","0,2173","0,2188","0,2193","0,2157","","-0,70%"
"01/09/2019","0,2188","0,2207","0,2224","0,2188","","-0,88%"
"01/08/2019","0,2207","0,2220","0,2243","0,2196","","-0,59%"
"01/07/2019","0,2220","0,2197","0,2236","0,2015","","1,07%"
"01/06/2019","0,2197","0,2215","0,2215","0,1994","","-0,04%"
"01/05/2019","0,2198","0,2168","0,2215","0,2151","","1,36%"
"01/04/2019","0,2168","0,2169","0,2200","0,1987","","-0,03%"
"01/03/2019","0,2169","0,2196","0,2207","0,2160","","-1,24%"
"01/02/2019","0,2196","0,2197","0,2215","0,2174","","0,00%"
"01/01/2019","0,2197","0,2115","0,2205","0,2115","","3,85%"
"01/12/2018","0,2115","0,2156","0,2164","0,2103","","-1,90%"
"01/11/2018","0,2156","0,2041","0,2156","0,2023","","5,62%"
"01/10/2018","0,2041","0,2041","0,2054","0,2023","","0,00%"
"01/09/2018","0,2041","0,2086","0,2097","0,2028","","-2,14%"
"01/08/2018","0,2086","0,2131","0,2134","0,2055","","-2,12%"
"01/07/2018","0,2131","0,2119","0,2136","0,2103","","0,59%"
"01/06/2018","0,2119","0,2156","0,2174","0,2119","","-1,75%"
"01/05/2018","0,2156","0,2131","0,2168","0,2109","","1,18%"
"01/04/2018","0,2131","0,2119","0,2149","0,1950","","0,56%"
"01/03/2018","0,2119","0,2135","0,2153","0,2056","","-0,74%"
"01/02/2018","0,2135","0,2184","0,2189","0,2132","","-2,22%"
"01/01/2018","0,2184","0,2185","0,2232","0,2171","","-0,08%"
"01/12/2017","0,2185","0,2219","0,2227","0,2182","","-1,55%"
"01/11/2017","0,2219","0,2224","0,2245","0,2208","","-0,20%"
"01/10/2017","0,2224","0,2252","0,4069","0,2218","","-1,15%"
"01/09/2017","0,2250","0,2259","0,4540","0,2068","","-0,40%"
"01/08/2017","0,2259","0,2269","0,2288","0,2249","","-0,43%"
"01/07/2017","0,2269","0,2280","0,2298","0,2250","","-0,38%"
"01/06/2017","0,2277","0,2261","0,2295","0,2256","","0,71%"
"01/05/2017","0,2261","0,2267","0,4496","0,2245","","-0,27%"
"01/04/2017","0,2267","0,2280","0,4249","0,2252","","-0,71%"
"01/03/2017","0,2284","0,2291","0,2322","0,2259","","-0,33%"
"01/02/2017","0,2291","0,2348","0,2348","0,2290","","-2,42%"
"01/01/2017","0,2348","0,2401","0,2405","0,2345","","-2,23%"
"01/12/2016","0,2401","0,2359","0,2407","0,2351","","1,80%"
"01/11/2016","0,2359","0,2421","0,2436","0,2334","","-2,56%"
"01/10/2016","0,2421","0,2402","0,2441","0,2402","","1,46%"
"01/09/2016","0,2386","0,2390","0,2429","0,2163","","-0,16%"
"01/08/2016","0,2390","0,2437","0,4803","0,2359","","-1,93%"
"01/07/2016","0,2437","0,2435","0,4477","0,2421","","0,08%"
"01/06/2016","0,2435","0,2398","0,4746","0,2376","","1,54%"
"01/05/2016","0,2398","0,2448","0,4449","0,2380","","-1,60%"
"01/04/2016","0,2437","0,2422","0,2467","0,2422","","0,62%"
"01/03/2016","0,2422","0,2490","0,2515","0,2397","","-2,73%"
"01/02/2016","0,2490","0,2429","0,2492","0,2357","","2,51%"
"01/01/2016","0,2429","0,2385","0,2458","0,2338","","1,84%"
"01/12/2015","0,2385","0,2361","0,2418","0,2140","","1,02%"
"01/11/2015","0,2361","0,2354","0,2417","0,2335","","0,30%"
"01/10/2015","0,2354","0,2249","0,2411","0,2225","","4,67%"
"01/09/2015","0,2249","0,2314","0,2314","0,2036","","-2,81%"
"01/08/2015","0,2314","0,2332","0,2369","0,2300","","-0,77%"
"01/07/2015","0,2332","0,2315","0,2353","0,2310","","0,73%"
"01/06/2015","0,2315","0,2322","0,2341","0,2093","","-0,30%"
"01/05/2015","0,2322","0,2363","0,2366","0,2305","","-1,74%"
"01/04/2015","0,2363","0,2394","0,2423","0,2348","","-1,29%"
"01/03/2015","0,2394","0,2433","0,2472","0,2384","","-1,60%"
"01/02/2015","0,2433","0,2498","0,2498","0,2433","","-2,45%"
"01/01/2015","0,2494","0,2562","0,2562","0,2401","","-2,65%"
"01/12/2014","0,2562","0,2537","0,2564","0,2462","","0,99%"
"01/11/2014","0,2537","0,2520","0,2554","0,2502","","0,67%"
"01/10/2014","0,2520","0,2499","0,2538","0,2480","","0,84%"
"01/09/2014","0,2499","0,2555","0,2557","0,2466","","-2,19%"
"01/08/2014","0,2555","0,2591","0,2594","0,2485","","-1,39%"
"01/07/2014","0,2591","0,2499","0,2611","0,2499","","3,68%"
