"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/02/2025","0,00006124","0,00006114","0,00006145","0,00005983","","0,16%"
"01/01/2025","0,00006114","0,00006195","0,00006634","0,00006084","","-99,90%"
"01/12/2024","0,06211000","0,06301000","0,06317000","0,06126000","","-1,55%"
"01/11/2024","0,06309000","0,06367000","0,06402500","0,06266500","","-0,94%"
"01/10/2024","0,06369000","0,06589000","0,06592500","0,06337500","","-3,53%"
"01/09/2024","0,06602000","0,06452500","0,06637500","0,06416500","","102.444,82%"
"01/08/2024","0,00006438","0,00006149","0,00006644","0,00006138","","4,65%"
"01/07/2024","0,00006152","0,00006116","0,00006227","0,00006095","","0,58%"
"01/06/2024","0,00006116","0,00006152","0,00006181","0,00006055","","-0,57%"
"01/05/2024","0,00006151","0,00006143","0,00006357","0,00006141","","0,14%"
"01/04/2024","0,00006143","0,00006307","0,00006319","0,00006121","","-2,60%"
"01/03/2024","0,00006307","0,00006365","0,00006524","0,00006282","","-0,90%"
"01/02/2024","0,00006365","0,00006339","0,00006429","0,00006328","","0,40%"
"01/01/2024","0,00006339","0,00006498","0,00006558","0,00006195","","-2,44%"
"01/12/2023","0,00006498","0,00006427","0,00006512","0,00006368","","1,10%"
"01/11/2023","0,00006427","0,00006309","0,00007000","0,00006005","","1,87%"
"01/10/2023","0,00006309","0,00006454","0,00006470","0,00006259","","-2,25%"
"01/09/2023","0,00006454","0,00006563","0,00006581","0,00006411","","-1,65%"
"01/08/2023","0,00006563","0,00006618","0,00006631","0,00006497","","-0,83%"
"01/07/2023","0,00006618","0,00006649","0,00006779","0,00006552","","-0,47%"
"01/06/2023","0,00006649","0,00006671","0,00006764","0,00006629","","-0,33%"
"01/05/2023","0,00006671","0,00006817","0,00006863","0,00006656","","-2,14%"
"01/04/2023","0,00006817","0,00006681","0,00006836","0,00006493","","2,04%"
"01/03/2023","0,00006681","0,00006558","0,00006704","0,00006440","","1,87%"
