Tanggal,Terakhir,Tertinggi,Terendah,No,Total Import,Total Export,value
2015-01-01,12.665,12.7575,12.41,1,18442.93,20493.1,114250.0
2015-01-02,12.92,12.945,12.5875,2,15919.17,19272.86,115527.0
2015-01-03,13.07,13.248,12.9,3,20588.05,22537.69,111554.0
2015-01-04,12.96,13.0775,12.805,4,15347.61,19614.86,110867.0
2015-01-05,13.223,13.243,12.976,5,21279.59,22325.54,110771.0
2015-01-06,13.33,13.3885,13.192,6,17150.49,20845.05,108030.0
2015-01-07,13.525,13.53,13.28,7,19570.34,22237.31,107553.0
2015-01-08,14.045,14.14,13.4745,8,18879.83,23440.3,105346.0
2015-01-09,14.645,14.74,14.0525,9,17341.61,22055.53,101720.0
2015-01-10,13.675,14.71,13.225,10,18672.91,24421.56,100712.0
2015-01-11,13.83,13.8475,13.43,11,19586.55,23998.17,100240.0
2015-01-12,13.785,14.095,13.555,12,19107.14,22320.71,105931.0
2016-01-01,13.77,13.9875,13.755,13,18442.93,21319.76,102134.0
2016-01-02,13.367,13.825,13.2975,14,15919.17,23413.9,104544.0
2016-01-03,13.255,13.44,12.975,15,20588.05,19280.37,107543.0
2016-01-04,13.18,13.2525,13.085,16,15347.61,21706.53,107711.0
2016-01-05,13.655,13.695,13.14,17,21279.59,20598.95,103591.0
2016-01-06,13.21,13.8,13.14,18,17150.49,20861.29,109789.0
2016-01-07,13.097,13.1925,13.0715,19,19570.34,21996.26,111409.0
2016-01-08,13.265,13.308,13.065,20,18879.83,20744.94,113538.0
2016-01-09,13.047,13.284,12.92,21,17341.61,22144.52,115671.0
2016-01-10,13.047,13.08,12.955,22,18672.91,21995.93,115037.0
2016-01-11,13.55,13.5875,13.03,23,19586.55,22391.28,111466.0
2016-01-12,13.47,13.5925,13.275,24,19107.14,19143.17,116362.0
2017-01-01,13.347,13.4975,13.27,25,18211.1,20489.07,116890.0
2017-01-02,13.331,13.3875,13.29,26,16638.51,26586.73,119863.0
2017-01-03,13.323,13.3975,13.2975,27,21962.42,27316.24,121806.0
2017-01-04,13.327,13.3475,13.2505,28,19757.45,21493.25,123249.0
2017-01-05,13.321,13.42,13.287,29,18609.29,26141.05,124953.0
2017-01-06,13.325,13.3275,13.274,30,21003.85,25473.42,123094.0
2017-01-07,13.324,13.4125,13.2975,31,21345.03,27928.7,127759.0
2017-01-08,13.342,13.3825,13.301,32,22150.55,24764.55,128787.0
2017-01-09,13.47,13.555,13.14,33,19808.34,24726.29,129402.0
2017-01-10,13.56,13.645,13.4575,34,19135.35,24059.11,126547.0
2017-01-11,13.524,13.5965,13.47,35,18962.09,23782.72,125967.0
2017-01-12,13.565,13.595,13.5115,36,19863.06,15300.17,130196.0
2018-01-01,13.387,13.555,13.2675,37,13329.9,15255.4,131980.0
2018-01-02,13.74,13.755,13.39,38,13264.97,18398.41,128059.0
